t,iq,id,vq,vd,omega,r
0,0,0,0,0,1123.85345599758,0
0.01,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1108.89918024075,-0.144963141214248
0.02,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1105.84798449559,-0.144963141214248
0.03,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1102.79548736164,-0.144963141214248
0.04,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1092.72419890232,-0.144963141214248
0.05,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1087.84275127678,-0.144963141214248
0.06,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1081.73894841984,-0.144963141214248
0.07,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1084.78970425993,-0.144963141214248
0.08,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1079.90600211645,-0.144963141214248
0.09,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1071.97191072102,-0.144963141214248
0.1,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1074.71858076507,-0.144963141214248
0.11,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1076.84993991138,-0.144963141214248
0.12,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1055.80103516902,-0.144963141214248
0.13,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1066.78375619336,-0.144963141214248
0.14,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1050.91410704994,-0.144963141214248
0.15,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1047.86720038653,-0.144963141214248
0.16,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1029.85630337886,-0.144963141214248
0.17,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1019.78782848387,-0.144963141214248
0.18,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1040.84133390846,-0.144963141214248
0.19,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1024.97786177604,-0.144963141214248
0.2,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1032.90504298421,-0.144963141214248
0.21,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1016.73332427949,-0.144963141214248
0.22,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1021.92147880715,-0.144963141214248
0.23,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1016.72784378595,-0.144963141214248
0.24,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1006.9744248373,-0.144963141214248
0.25,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,979.805871464997,499.748984876529
0.26,-2.60443076478484,0.011687850179204,2.65901141904183,0.197330338779506,786.830186675095,499.748984876529
0.27,-1.43993153103745,0.19036284780081,3.42887590287838,-0.0550754201915681,574.824632747326,499.748984876529
0.28,-1.41178756866667,-0.0633232473814286,2.37661116082136,0.649494425427406,590.999467451197,499.748984876529
0.29,-0.434315436985838,-0.0437235887540002,3.02145381904176,0.414637675876564,522.94308747076,499.748984876529
0.3,-1.24556998798382,-0.0241823200371289,1.79042251934992,1.00177919707607,574.824632747326,499.748984876529
0.31,-0.541967576273961,0.0925983741820092,2.37661131180064,0.416040387581875,527.826056437965,499.748984876529
0.32,-0.0142366165503845,0.0147251482683082,3.31542433762132,0.532065698000784,493.950459227972,499.748984876529
0.33,0.493719648954104,0.0730572395941219,4.48815239159407,-0.17110183889348,464.957830985185,499.748984876529
0.34,0.699719716636806,0.179600850850518,5.18954791286733,-0.988192331587103,446.953714032028,499.748984876529
0.35,0.953114440718507,0.00483792689810275,5.19164931816473,-0.406660145787432,438.711872786451,499.748984876529
0.36,0.845170846488228,-0.0533192545808684,5.2524040356854,-0.290633928589255,446.951882918612,499.748984876529
0.37,0.697911591132179,0.0533996102335226,5.25310396729075,-0.993101318745052,461.900787226142,499.748984876529
0.38,0.268178731705589,0.00442991010554505,5.0156878718612,-0.639415145124735,490.890668798953,499.748984876529
0.39,-0.13160100028636,-0.0437235887540002,3.72530181860083,-0.0557772798034009,509.820108371392,499.748984876529
0.4,-0.531497545625031,0.102311322818167,3.66349876366314,-0.288532279113991,524.774200833462,499.748984876529
0.41,-0.512655757031478,-0.033894673468127,3.07905934743386,0.179079368982457,530.87486018697,499.748984876529
0.42,-0.5412101253976,-0.189292470857495,3.54584222377093,1.23103185026824,522.94308747076,499.748984876529
0.43,-0.219361950560587,-0.0242405841984429,2.90379763145221,0.532064589717771,511.956407294545,499.748984876529
0.44,-0.0529699211181607,0.0830033790199562,3.31892147950456,-0.053676839429215,490.909590302967,499.748984876529
0.45,0.308077495544865,-0.043548846568467,4.48850265936856,0.295107601269786,477.775624524101,499.748984876529
0.46,0.405376157667931,0.0353150712787667,4.9011777532196,-0.178105221211084,469.840799952391,499.748984876529
0.47,0.464640551029931,0.0435715835523201,5.01394096159868,-0.405262874785275,469.838663653657,499.748984876529
0.48,0.376180799679156,-0.0633230797157665,4.90012861065462,-0.0550775360191575,475.944511161399,499.748984876529
0.49,0.327676944592421,0.0244962101662573,4.95563721262407,-0.524790934329461,480.824428272634,499.748984876529
0.5,0.181001001490023,0.00542061043204034,4.60581049154328,-0.292033013150596,488.762304700315,499.748984876529
0.51,-0.00469924841706413,-0.0240659258435126,4.25214018539166,0.0609516030474526,501.882231943767,499.748984876529
0.52,-0.180279714921555,-0.0437817774666361,3.37268100733022,0.297207034152325,511.956407294545,499.748984876529
0.53,-0.180047027144284,0.0147838567396616,3.37337973118104,-0.0557772798034009,506.771304622749,499.748984876529
0.54,-0.112176201209562,0.0439794326858705,3.49173529682962,-0.17250646492296,503.716397162384,499.748984876529
0.55,-0.044130733690477,-0.0243568107241905,3.78500482693564,0.297206731883775,501.882231943877,499.748984876529
0.56,-0.00458289613986603,-0.0429094162285415,3.84296047210977,0.410441328919342,498.833428195178,499.748984876529
0.57,0.249046561221687,0.121621286988406,3.90405785829703,-0.63872587973914,488.762304700315,499.748984876529
0.58,0.220374230995094,0.00495516779538219,4.43124478187877,-0.0550785435371928,480.83236309776,499.748984876529
0.59,0.278881735164699,-0.00464105132025594,4.72242040508079,-0.0557772798034009,480.827480128605,499.748984876529
0.6,0.248058644142579,0.0246127301091164,4.96017635098157,-0.408062252982184,488.754369875583,499.748984876529
0.61,0.210196678037388,0.0149002173966153,4.72346718238811,-0.291332362586754,485.710449095811,499.748984876529
0.62,0.0943435996199523,-0.0136563222411426,4.42531423486995,-0.0592689459660082,490.901655479079,499.748984876529
0.63,0.00512958303817967,-0.0142373961851489,4.42949998525948,-0.0564755122973273,496.697129272025,499.748984876529
0.64,-0.00487340377500977,-0.053145694430305,3.60939133343997,0.177683105524559,503.716397162384,499.748984876529
0.65,-0.0436655090222756,0.0535181169765614,3.78430700894691,-0.288539835618194,501.885283799682,499.748984876529
0.66,0.00460694091009058,-0.0237758206041708,3.43691545430622,0.176985578306328,498.836480050678,499.748984876529
0.67,-0.0527974675517179,-0.00458298835686278,4.36805781678904,0.061651044589528,496.697129272025,499.748984876529
0.68,0.0730015323143657,0.033860940299194,4.54541404348577,-0.287145284981031,498.825493371024,499.748984876529
0.69,-0.0234277194726169,-0.102115210115533,5.13021117569715,0.413238389811644,490.898603623468,499.748984876529
0.7,0.122319157524101,-0.0254011141585603,4.48850265936856,0.0672312623341051,490.898603623468,499.748984876529
0.71,0.181407207508045,0.0137976582048399,4.66272263055651,-0.0508952946318316,485.710449095811,499.748984876529
0.72,0.18146516988348,0.0535766074860825,4.7796824092221,-0.52339860023165,485.710449095811,499.748984876529
0.73,0.229738147952154,0.00518759570320275,4.48676138553646,-0.173205604196326,490.89341546827,499.748984876529
0.74,-0.0522761332145694,-0.00475705988195751,5.1277762609252,-0.172508480011954,493.950459227972,499.748984876529
0.75,0.12231919944052,0.0246708517550509,4.19558123304969,-0.173902627642104,493.950459227972,499.748984876529
0.76,0.131509967035837,0.0827147827583868,3.7877886004045,-0.522702886651911,496.697129272025,499.748984876529
0.77,0.0340356321841393,-0.0819944183290482,4.43089290368978,0.292326761722157,496.694382601726,499.748984876529
0.78,0.0244969395092366,-0.0140058904384581,4.01996733694713,0.0602576022350742,498.833428195178,499.748984876529
0.79,0.00541939487138412,0.00518754540482056,4.07931705804152,-0.0557772798034009,493.955342197304,499.748984876529
