t,iq,id,vq,vd,omega,r
0,0,0,0,0,1291.7055142453,0
0.01,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1291.70543176328,-0.144963141214248
0.02,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1296.89288060548,-0.144963141214248
0.03,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1285.90679613773,-0.144963141214248
0.04,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1272.78474267365,-0.144963141214248
0.05,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1265.76579554711,-0.144963141214248
0.06,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1267.90065561214,-0.144963141214248
0.07,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1262.71185955517,-0.144963141214248
0.08,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1254.78070086538,-0.144963141214248
0.09,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1262.71288600251,-0.144963141214248
0.1,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1251.72950512202,-0.144963141214248
0.11,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1244.7092566067,-0.144963141214248
0.12,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1246.84037747163,-0.144963141214248
0.13,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1233.72025775972,-0.144963141214248
0.14,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1233.71820486505,-0.144963141214248
0.15,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1220.90246422081,-0.144963141214248
0.16,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1225.78455337649,-0.144963141214248
0.17,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1225.78543318801,-0.144963141214248
0.18,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1228.82871062652,-0.144963141214248
0.19,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1217.84782254591,-0.144963141214248
0.2,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,1191.90855291954,499.748984876529
0.21,-4.63545414849167,-0.374639287941224,2.96069386777711,2.17184856304946,870.90562794951,499.748984876529
0.22,-2.8681382008492,0.317322360836605,1.7363292807797,0.648792666554169,679.808465542261,499.748984876529
0.23,-2.37855460945836,0.024437124447201,2.02363509958026,1.23663655116417,642.881012727764,499.748984876529
0.24,-3.41558564090444,-0.161321741698797,0.737457795263243,1.5917300709668,718.872217279912,499.748984876529
0.25,-2.3772695787781,-0.13025733657246,0.732548007568258,2.28647065801651,629.767885683074,499.748984876529
0.26,-1.07812588386093,-0.100887227987277,0.73921009043598,1.81535434633679,545.848445987243,499.748984876529
0.27,-0.179986885119653,0.024437258576186,2.43351217791312,0.650196385830596,501.885283799682,499.748984876529
0.28,0.407594068801208,0.131447150797656,4.60300633643195,-0.0529702444166153,448.792234302354,499.748984876529
0.29,1.157830911228,0.0344414861134865,4.84182803217824,-0.0557772798034009,422.842223643031,499.748984876529
