t,iq,id,vq,vd,omega,r
0,0,0,0,0,-0.144963141214248,0
0.01,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.144963141214248,-0.144963141214248
0.02,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.144963141214248,-0.144963141214248
0.03,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.144963141214248,-0.144963141214248
0.04,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.144963141214248,-0.144963141214248
0.05,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.144963141214248,-0.144963141214248
0.06,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.144963141214248,-0.144963141214248
0.07,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.144963141214248,-0.144963141214248
0.08,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.144963141214248,-0.144963141214248
0.09,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.144963141214248,-0.144963141214248
0.1,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.144963141214248,-0.144963141214248
0.11,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.144963141214248,-0.144963141214248
0.12,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.144963141214248,-0.144963141214248
0.13,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.144963141214248,-0.144963141214248
0.14,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.144963141214248,-0.144963080063638
0.15,-0.00464105132025594,-0.00464105132025594,-0.027848879358281,-0.0557772798034009,-0.144963141214248,499.748984876529
0.16,4.49004562533738,0.0247682876436508,5.13340327853077,-0.409233285764118,-0.144963141214248,499.748984876529
0.17,4.33434866427019,0.440472989191083,6.30472721093606,-4.8457511853058,163.739682820647,499.748984876529
0.18,4.47457691343103,0.034100579561319,6.89038966198352,-1.34690353614852,294.892600501302,499.748984876529
0.19,1.37331054779717,-0.0921385286791979,5.60146554186685,-0.174961233426638,414.90739907132,499.748984876529
0.2,0.797329908844354,-0.00464105132025594,5.13340348276158,-0.173205604196326,443.909558578477,499.748984876529
0.21,0.366643054300301,-0.00488442842719839,4.84042615589272,-0.406892242323084,480.827480128605,499.748984876529
0.22,0.1906743020184,0.0441634535568931,4.54744872692179,-0.290633928589255,490.898603623468,499.748984876529
0.23,0.708128672714423,-0.101958127599712,5.37064820410439,-0.526660179206441,461.905975380681,499.748984876529
0.24,0.190577036221446,0.0147542676763562,5.13165139078289,-0.642334203086017,496.68877108898,499.748984876529
0.25,-0.0151899480849891,0.0238439479483598,3.72483375703512,-0.520813805788082,519.876110153318,499.748984876529
0.26,-0.33684261950707,0.0438230572841036,3.31542433762132,-0.405724275909638,524.774200833462,499.748984876529
0.27,-0.502797530424124,0.0538368816540041,3.07993298467978,-0.0551928877689066,532.709025405172,499.748984876529
0.28,-0.356626967652735,0.00498373538090441,2.67110679605934,0.297091983176238,527.826056437965,499.748984876529
0.29,-0.278559065043348,-0.0638481460769706,2.96525160566892,0.651713604657187,519.891231866255,499.748984876529
0.3,-0.0144602845561737,0.00512958303817967,3.66763957717642,0.296507693375386,501.885283799682,499.748984876529
0.31,0.161556913515441,-0.0332240988283926,4.31254091110647,0.293003794453876,490.898603623468,499.748984876529
0.32,0.337816969917058,-0.0728897462216878,4.72282668278914,0.413352136795234,475.953895788711,499.748984876529
0.33,0.522973204035273,0.0149973641223092,4.95773398806745,-0.291801486068125,469.840799952391,499.748984876529
0.34,0.552139412527787,-0.0241823200371289,4.95598475510672,-0.173205604196326,475.932303739514,499.748984876529
0.35,0.327560516866559,-0.0339529543955646,4.95773398806745,-0.290050354263704,482.963779051758,499.748984876529
0.36,0.122668482428675,-0.00444685992741092,4.83926040910055,-0.291217400681157,493.950459227972,499.748984876529
