,Unnamed: 0.1,Unnamed: 0,t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,omega_ekf,omega_meta
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.144963141214248,0.0,0.0,0.0,112.20813
1,1,1,0.01,0.0051295830381796,0.0149002173966153,-0.086502795445643,-0.173205604196326,-0.0050845593153507,0.0149156413600173,0.0859793005780795,-0.17346606243594,1.5677762099521,-0.144963141214248,543.695705581385,-0.144963141214248,-5.43293084602641e-10,81.9768
2,2,2,0.02,0.0049830235193041,-0.0241823200371289,-0.0859162562707661,0.061651044589528,-0.0050560341149971,-0.0241671604620827,0.0861020575205277,0.0613912866887123,1.5677762099521,-0.144963141214248,540.949035537333,-0.144963141214248,-1.75664363172878,55.842773
3,3,3,0.03,-0.111531791186481,-0.0531522509011042,0.438743023048866,0.177317944071307,0.111370756776087,-0.0534888470266509,-0.438205502044302,0.178642188583306,1.5677762099521,-0.144963141214248,537.942957766351,-0.144963141214248,-5.04358159235253,58.137848
4,4,4,0.04,-0.0138254476010566,-0.0042990791083022,-0.0891422217421911,-0.0575387047177558,0.0138124008479339,-0.0043408139058243,0.0889680418576215,-0.0578076618256748,1.5677762099521,-0.144963141214248,543.695705581385,-0.144963141214248,-18.4331803729323,54.972916
5,5,5,0.05,-0.0143139793322413,-0.0045433449738056,-0.0281421489473199,-0.0563644214425874,0.0143001926408124,-0.0045865540780079,0.0279717937239022,-0.0564491568386828,1.5677762099521,-0.144963141214248,537.897179932828,-0.144963141214248,-16.5125271913267,31.876192
6,6,6,0.06,-0.024133466863815,-0.0240846136905011,0.0302184975499369,0.061063902949274,0.0240606185650636,-0.0241573896303811,-0.030033939895554,0.0611548877190053,1.5677762099521,-0.144963141214248,540.949035537333,-0.144963141214248,-34.951516164589,38.33346
7,7,7,0.07,-0.0144605388520945,-0.0047387576670617,-0.0859162562654309,-0.0551901381620779,0.0144461613240046,-0.0047824085062762,0.0857491840276648,-0.0554493632028909,1.5677762099521,-0.144963141214248,543.654505531315,-0.144963141214248,-30.1589187612414,38.53891
8,8,8,0.08,-0.0631182979503963,-0.0921370819847529,0.206180245809889,0.294746268448214,0.0628397457661449,-0.0923272861339829,-0.205289138698217,0.295367611729718,1.5677762099521,-0.144963141214248,537.897179932828,-0.144963141214248,-44.8820744896433,47.40596
9,9,9,0.09,0.0050318766910186,0.0148025110494542,-0.086502795445643,-0.172618462552868,-0.0049871484979204,0.0148176403743147,0.0859810738117504,-0.172878923470171,1.5677762099521,-0.144963141214248,540.990235587353,-0.144963141214248,-34.8568031939415,59.28114
10,10,10,0.1,0.024573145407712,0.0149002173966153,-0.203224088436951,-0.173205604196326,-0.0245280330115562,0.0149743631009456,0.202700061256164,-0.173818573842934,1.5677762099521,-0.144963141214248,540.949035537333,-0.144963141214248,-46.4399382774995,59.781
11,11,11,0.11,-0.014655951547483,-0.0046410513202559,-0.0266758009893229,-0.0557772798034009,0.0146418682123389,-0.0046852927733405,0.0265072256869155,-0.0558575893417515,1.5677762099521,-0.144963141214248,537.897179932828,-0.144963141214248,-37.2048021760804,57.924538
12,12,12,0.12,0.0053738489074151,0.0149002173966153,-0.0879691434095064,-0.173205604196326,-0.0053288240705996,0.0149163790703616,0.0874456418545905,-0.173470490971391,1.5677762099521,-0.144963141214248,543.695705581385,-0.144963141214248,-45.9271279483326,57.568027
13,13,13,0.13,-0.0338552480477147,-0.0532499572428111,0.0888724136299632,0.177905085687262,0.0336942728009134,-0.0533519610431624,-0.0883347149940116,0.178172679007569,1.5677762099521,-0.144963141214248,540.949035537333,-0.144963141214248,-37.8325233990656,62.3776
14,14,14,0.14,-0.0625809130346769,-0.0920393756320254,0.20324754986588,0.29415912678072,0.0623026583853489,-0.0922279572640823,-0.202358229362656,0.294771615668961,1.5677762099521,-0.144963141214248,540.949035537333,-0.144963141214248,-43.9489611338022,61.743782
15,15,15,0.15,0.1021519821851,0.0631671510995625,-0.610868805100219,-0.405126544733523,-0.101960744428999,0.0634753734755786,0.609642491561626,-0.406969589496346,1.5677762099521,-0.144963141214248,543.695705581385,-0.144963141214248,-30.638024884208,63.286797
16,16,16,0.16,-0.0136788880989759,-0.0042990791163886,-0.0313681143371281,-0.0575387046761045,0.0136658420142206,-0.0043403712877628,0.0311941979343554,-0.0576331774944204,1.5677762099521,-0.144963141214248,537.897179932828,-0.144963141214248,-45.6511526476937,58.55318
17,17,17,0.17,-0.0339041012234946,-0.0533476635962258,0.088872413652234,0.178492227357153,0.033742830669741,-0.0534498144930572,-0.0883329417825316,0.178759817999838,1.5677762099521,-0.144963141214248,543.695705581385,-0.144963141214248,-44.8832038162228,61.25171
18,18,18,0.18,-0.0144116856786916,-0.0046410513202559,-0.086502795445643,-0.0557772798034009,0.0143976034575341,-0.0046845550629975,0.0863339472992716,-0.0560382735806896,1.5677762099521,-0.144963141214248,543.654505530965,-0.144963141214248,-53.9213464916382,60.61483
