t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r
0,0,0,0,0,0,0,0,0,0,-0.144963141214248,0,0
0.01,-0.0432545983052573,0.0146657221722439,0.204655244014103,-0.171796464304999,0.0342669775869493,-0.0301963230946771,-0.25092184610404,0.0918478154226389,0.52156938491557,-0.144963141214248,53.8728810585053,-0.144963141214248
0.02,-0.0627372432152359,0.0147829697842518,0.379913145279562,-0.172501034249595,0.0440756973538247,-0.0470301050888026,-0.33885348919676,0.243452084880313,0.52156938491557,-0.144963141214248,59.937040883262,-0.144963141214248
0.03,-0.00423068467636196,-0.00475829893279709,0.0290454192428597,-0.0550727098556016,-0.002017724946841,-0.00603894755760946,-0.0622217818750816,-0.00225601642780602,0.52156938491557,-0.144963141214248,61.7849278450261,-0.144963141214248
0.04,-0.00499279415841266,-0.00452380370753704,0.0325646542179703,-0.0564818497522683,-0.00143469405493661,-0.00658289043364197,-0.0651969889560579,9.32032051205178e-05,0.52156938491557,-0.144963141214248,64.8595612347199,-0.144963141214248
0.05,-0.0534942231124358,0.0344414861134865,0.265420701078526,-0.290633928589255,0.056515128327134,-0.0292213644834754,-0.384234351421818,0.0853240423075197,0.52156938491557,-0.144963141214248,64.8595612347199,-0.144963141214248
0.06,-0.082161264315834,0.0342069908873379,0.438215137851011,-0.289224788687249,0.0705949206655723,-0.0541936228329895,-0.469105926925889,0.235845531558193,0.52156938491557,-0.144963141214248,67.9114168392234,-0.144963141214248
0.07,-0.00440655609375155,-0.00475829893350815,0.0297492662309455,-0.0550727098513287,-0.00193009851432827,-0.00619143481537127,-0.0625724676277672,-0.00164575411903978,0.52156938491557,-0.144963141214248,67.9114168392234,-0.144963141214248
0.08,0.0729377854800798,-0.0532011040788612,-0.318303071795794,0.177670229076178,-0.0824680249313878,0.0367328584494043,0.312638685731059,-0.187458283356526,0.52156938491557,-0.144963141214248,64.8595612347199,-0.144963141214248
0.09,-0.00475829893386341,-0.00464105132025594,0.0315088837299708,-0.0557772798034009,-0.00165318747236927,-0.00643799171189715,-0.0640600711772119,-0.000471144294494335,0.52156938491557,-0.144963141214248,59.9936517801215,-0.144963141214248
0.1,0.0333276337825256,-0.0238305771957729,-0.13952593551734,0.0595373347236998,-0.0372672326709189,0.0170229536825262,0.121138757280733,-0.0913103630070016,0.52156938491557,-0.144963141214248,56.9247366630098,-0.144963141214248
0.11,-0.0144703094856731,-0.024065072423166,0.0901627998194671,0.0609464746331845,-0.0136556316100886,-0.0245365297601949,0.00792008296186371,0.108540663013342,0.52156938491557,-0.144963141214248,53.8728810585053,-0.144963141214248
0.12,-0.0240650724229883,-0.00464105132025594,0.205359090982987,-0.0557772798034009,0.00796624768768622,-0.0231777040679045,-0.150679453601447,0.150263646481758,0.52156938491557,-0.144963141214248,48.9899120912987,-0.144963141214248
