t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r
0,0,0,0,0,0,0,0,0,0,-0.144963141214248,0,0
0.01,0.00518820684427253,-0.0338357067833788,-0.0282008028544584,0.0609464746438646,-0.0319218339925393,-0.0123599780882698,0.0668937380913716,0.00591488438722512,0.52156938491557,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.02,0.0436845062162866,-0.0142358142601464,-0.259649155734038,-0.0564818497501323,-0.03410842890377,0.0307832676746092,0.0803960486027665,-0.25326736622324,0.52156938491557,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.03,-0.0631476098583303,0.0343242385009454,0.265068777581281,-0.289929358641456,0.0612231877353984,-0.0376496382851926,-0.383448119401618,0.0853699571163245,0.52156938491557,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.04,0.0435086347956087,-0.0530838564679196,-0.200643316140363,0.176965659135854,-0.0677035435297218,0.0112750748469098,0.253404827248426,-0.0857938130192653,0.52156938491557,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.05,-0.0234788343597489,0.0144898507514769,0.0859397178333291,-0.171091894346519,0.0242613846732253,-0.0131376044783815,-0.191161958949547,-0.0107320484029997,0.52156938491557,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.06,-0.00534453699870172,-0.0142358142590801,0.0339723482186822,-0.056481849754404,-0.0096801264507657,-0.0117267913448951,-0.0658983604829174,0.00131372783860857,0.52156938491557,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.07,-0.082454383347986,-0.0142358142588133,0.380968915756357,-0.056481849755473,0.0287391965697826,-0.0785839826009821,-0.238786439585754,0.30217304710105,0.52156938491557,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.08,0.0440948728584923,-0.0145289332921214,-0.203458704120452,-0.0550727098502613,-0.0345670360134907,0.0309930272199337,0.0536214138037882,-0.203845999799622,0.52156938491557,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.09,-0.0438408363676076,0.0147243459762041,0.207118708491612,-0.172501034242119,0.0346098947837753,-0.030675405146376,-0.252760135392127,0.0936326875529466,0.52156938491557,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.1,0.0536310119890017,-0.0338357067817792,-0.319006918789215,0.0609464746342519,-0.056058048326676,0.0296417900638785,0.21178540410676,-0.246225160398096,0.52156938491557,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.11,-0.0241823200371289,0.0149002173966153,0.0894589528164431,-0.173205604196326,0.0249676940142129,-0.0135430918352185,-0.194748055179551,-0.00873387473069411,0.52156938491557,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.12,-0.00499279416267779,-0.0144116856786916,0.0322127307372617,-0.0557772798034009,-0.0100078665769783,-0.011509443263237,-0.0644107569431711,0.000139118028794582,0.52156938491557,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.13,-0.0433132221039787,0.0146070983608856,0.204303320473673,-0.171796464279687,0.0342453573038425,-0.0302763609881593,-0.250746503180786,0.0915426842417133,0.52156938491557,-0.144963141214248,-0.144963141214248,-0.144963141214248
