t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r
0,-0.0339529543955646,0,0.0149002173966153,0.148112868903805,-0.0557772798034009,0.0149002173966153,-0.0339529543955646,-0.0557772798034009,0.148112868903805,0,0,0,0
0.001,0.00512958141248712,-0.00464105132025594,0.0344414853006402,-0.0278488720389071,-0.173205599311732,-0.0323799302119369,0.0128089279274907,0.16386590219133,-0.0626394875920696,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.002,-0.0144116840529296,-0.00464105132025594,-0.0339529487053976,0.0308050318492901,0.179079339673637,0.0366057034817444,-0.00453010327028357,-0.170430432342243,0.0630224374077822,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.003,0.00512958059957142,-0.00464105132025594,-0.0144116881172998,-0.0278488720386987,0.0616510592437291,0.0099051115433889,-0.0116575347664437,-0.03941512999392,0.0549805448069041,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.004,-0.0241823151599472,-0.00464105132025594,-0.0144116856786916,0.089458933297696,0.061651044589528,0.0245849833187861,0.013713484087256,-0.0981647731604602,-0.0465556586903996,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.005,0.0246708415942989,-0.00464105132025594,-0.10234737661526,-0.145156662736342,0.41393594449814,0.0762315843300999,-0.0726111663280502,-0.285586940964991,0.332946725520132,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.006,-0.0144116759242585,-0.00464105132025594,0.0539827158126257,0.0308049928115875,-0.290633752738842,-0.03950733378598,0.0395094999535013,0.236131457090213,-0.172217481068669,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.007,0.00512957734811689,-0.00464105132025594,-0.0144116657634718,-0.0278488622793251,0.0616509420105376,0.00990509382333332,-0.011657520756975,-0.0394150334099591,0.054980477647355,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.008,0.0149002141451608,-0.00464105132025594,0.0149002076422517,-0.0865027759268959,-0.0557772407258094,-0.0203591981986277,-0.00543466816492582,0.0916001892671054,0.0469386424204421,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.009,0.0246708480971732,-0.00464105132025594,-0.0534941975072922,-0.145156689574463,0.179079281058085,0.033946534800126,-0.0481447057094216,-0.0823058911109996,0.215326713904527,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.01,-0.0144116694213495,-0.00464105132025594,-0.0339529625242356,0.0308049635334668,0.179079368982457,0.0366057081149565,-0.00453012285539945,-0.170430423496923,0.0630225112171238,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.011,-0.0241823155663703,-0.00464105132025594,0.161459643357978,0.0894589259781137,-0.877775066967762,-0.127641082871717,0.10179270495852,0.71495890685169,-0.517035520192621,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.012,0.00512956840663429,-0.00464105132025594,0.0344415495168499,-0.0278488208020396,-0.173205955894649,-0.0323799792809674,0.0128089713452754,0.16386618517271,-0.0626397105228475,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.013,0.00512958303817967,-0.00464105132025594,0.0344414861134865,-0.027848879358281,-0.173205604196326,-0.0323799317296722,0.0128089269274532,0.16386591008487,-0.0626394837030434,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.014,0.0149002117065525,-0.00464105132025594,-0.0730354292386164,-0.0865027612877314,0.296507419831411,0.0557538122979809,-0.0494742624726286,-0.213321083067242,0.223368514443065,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.015,0.0051295891346656,-0.00464105132025594,0.07352393209994,-0.0278489159559839,-0.408061813358654,-0.0662078875831751,0.0323820459190076,0.367146571624885,-0.180259259361537,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.016,0.0149002108937062,-0.00464105132025594,0.0539827678361759,-0.0865027564081488,-0.290634006744438,-0.0541872482232204,0.0141385161147302,0.294881304692079,-0.0706814606925357,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.017,-0.0144116649505909,-0.00464105132025594,-0.0339528922112624,0.0308049537740934,0.0616507954689444,0.0366056450162791,-0.00453009151120084,-0.0687896911175311,0.00421238114755789,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.018,0.00512956840659961,-0.00464105132025594,0.0344414349029563,-0.0278488354409959,-0.173205428346748,-0.0323798800764789,0.0128089139448044,0.16386573588314,-0.0626394336474814,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.019,0.0246708363106245,-0.00464105132025594,-0.0144116470676256,-0.145156618818848,-0.0557773726127849,0.000118497492880312,-0.0285715189272746,0.120975101410708,0.0977066227088762,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.02,0.00512959929545233,-0.00464105132025594,-0.0144116856786916,-0.0278489769520165,-0.0557772798034009,0.00990510006944161,-0.0116575497274366,0.062225447096887,-0.0038293854772445,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.021,-0.0144116686085032,-0.00464105132025594,-0.0339529373253762,0.0308049854922137,0.0616509420105377,0.0366056858969058,-0.00453011093896307,-0.0687898338420887,0.00421242708423601,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.022,-0.0144116856786916,-0.00464105132025594,0.0149001726890286,0.0308050367290811,-0.0557771723398157,-0.00567929202311099,0.0199363354802357,0.0328504705590577,-0.0545975258244732,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.023,-0.0144116856786916,-0.00464105132025594,0.19077146758553,0.0308050367290811,-0.995202976161383,-0.157905328867011,0.108015538901768,0.845973880543671,-0.525077239543133,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.024,0.0051295635294525,-0.00464105132025594,-0.0144114808370562,-0.0278488208020396,0.0616499894945599,0.00990494068021567,-0.0116574161820249,-0.0394142297288005,0.0549799647110546,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.025,0.00512958303817967,-0.00464105132025594,0.0344414353093794,-0.027848879358281,-0.173205359960754,-0.032379887755993,0.0128089014839305,0.163865698685885,-0.0626393613858987,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.026,-0.0241822883353953,-0.00464105132025594,-0.0144116328424687,0.0894588259443787,-0.0557774068057813,0.0245849241520303,0.0137134873304071,0.00347590239571213,-0.105365643128392,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.027,0.0051295501171765,-0.00464105132025594,-0.0144116856786916,-0.0278487476066337,0.0616509127025526,0.00990512469872158,-0.0116575071610016,-0.0394150654722744,0.0549803637140758,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.028,0.00512958303817967,-0.00464105132025594,-0.0144116856786916,-0.027848879358281,0.061651044589528,0.00990510821134803,-0.0116575356558953,-0.0394151136441573,0.054980543803333,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.029,0.0344414507538404,-0.00464105132025594,-0.121888533969449,-0.262464260685267,0.531363775534913,0.088252224019481,-0.090854681766358,-0.328477473815776,0.493292508845804,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.03,-0.0144116247138323,-0.00464105132025594,-0.0339530641323113,0.0308046707520513,0.179079808605987,0.0366057736719434,-0.00453021243912909,-0.170430657384971,0.0630229848057496,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.031,0.00512955783938969,-0.00464105132025594,-0.0534941979136458,-0.0278488037230838,0.179079368982457,0.0437331309732253,-0.0312306712917073,-0.141055663388009,0.113790492090203,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.032,0.034441447095928,-0.00464105132025594,-0.121888572580515,-0.262464231406938,0.531363873228891,0.088252259271371,-0.0908546979372881,-0.328477573038216,0.493292532430573,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.033,0.00512962327500756,-0.00464105132025594,-0.0144118332137271,-0.0278492014182332,0.0616516893710374,0.00990521575957541,-0.0116576443709716,-0.0394155104442707,0.0549811454805536,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.034,-0.0144116580412934,-0.00464105132025594,0.014900175940518,0.0308049537743018,-0.055777113723429,-0.00567930867870769,0.0199363131869843,0.0328504613685337,-0.0545974246666239,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.035,0.0344414149878754,-0.00464105132025594,-0.121888464469774,-0.262464116734873,0.531363487338408,0.0882521817759616,-0.0908546160024301,-0.328477296458943,0.493292239915524,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.036,-0.0144116125207912,-0.00464105132025594,-0.0339530860797851,0.0308045975562302,0.179079896531191,0.0366057865621858,-0.00453023398451161,-0.170430696831293,0.0630230921950296,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.037,0.00512955296217315,-0.00464105132025594,-0.0144117157546981,-0.0278487890839191,0.0616512253237015,0.00990514930629748,-0.0116575246860518,-0.0394153152901442,0.0549805561806439,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.038,-0.0144116547898388,-0.00464105132025594,0.102835741289419,0.030804944014928,-0.525489649281269,-0.0817922576676496,0.0639758709667531,0.439411854150375,-0.289837089603183,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
