t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r
0,-0.00464105132025594,0,0.0246708517550509,0.0308050367290811,-0.173205604196326,0.0246708517550509,-0.00464105132025594,-0.173205604196326,0.0308050367290811,0,0,0,0
0.001,-0.0241823200371289,-0.00464105132025594,0.0442121185490958,0.0894589528164431,-0.290633919345463,0.0261529306619127,-0.043075750101079,-0.206735364566675,0.223005534349719,-0.524637440120955,-0.144963141214248,2852.72965594906,-0.144963141214248
0.002,-0.0241823177297373,-0.00464105132025594,-0.00464106131895304,0.0894589435821361,-0.0557772335844411,-0.0161297691543934,-0.0186052274367778,-0.00346559141823927,0.105365990951953,-0.524637440120955,-0.144963141214248,2852.72965594906,-0.144963141214248
0.003,0.00512957957709222,-0.00464105132025594,-0.131659287596658,-0.0278488655068205,0.531364300564176,-0.111382448784045,0.0703877169679976,0.445949304587572,-0.29026332348737,-0.524637440120955,-0.144963141214248,2852.72965594906,-0.144963141214248
0.004,-0.02418232157539,-0.00464105132025594,-0.0437235718331282,0.0894589620507501,0.179079276544537,-0.0499559029675339,0.000971169048432054,0.19980404359605,-0.0122734404948234,-0.524637440120955,-0.144963141214248,2852.72965594906,-0.144963141214248
0.005,-0.0339529447814327,-0.00464105132025594,0.0637533718833561,0.14811282273227,-0.408062160544264,0.0381718964324256,-0.0613204795201464,-0.278990486583933,0.332590504256261,-0.524637440120955,-0.144963141214248,2852.72965594906,-0.144963141214248
0.006,0.0149002058596571,-0.00464105132025594,-0.0241823085001708,-0.0865027400398011,0.0616509891267762,-0.0134664217450995,0.0250091116283786,0.010030119867055,-0.105749539905173,-0.524637440120955,-0.144963141214248,2852.72965594906,-0.144963141214248
0.007,-0.0339529543955646,-0.00464105132025594,0.0246708382952663,0.148112868903805,-0.173205539489782,0.00434573975925592,-0.0417440764698812,-0.0757207416866264,0.214951041224018,-0.524637440120955,-0.144963141214248,2852.72965594906,-0.144963141214248
0.008,-0.0339529513190424,-0.00464105132025594,-0.0241823138840846,0.148112850435191,0.0616510076143602,-0.0379369357070701,-0.0172735670091409,0.127548906828046,0.0973115592870328,-0.524637440120955,-0.144963141214248,2852.72965594906,-0.144963141214248
0.009,-0.0241823200371289,-0.00464105132025594,-0.00464105132025594,0.0894589528164431,-0.0557772798034009,-0.0161297616562357,-0.018605234442178,-0.00346562679555065,0.105366022095339,-0.524637440120955,-0.144963141214248,2852.72965594906,-0.144963141214248
