t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r
0,0.0539827548303577,-0.151200566696792,-0.321118459795088,0.766220990947097,-0.151200566696792,0.0539827548303577,0.766220990947097,-0.321118459795088,0,0,0,0
0.01,0.0149002173965695,0.00512958303817967,-0.145156711532818,0.0616510445893444,-0.0119022002817068,-0.0103279586107203,0.0193345556475167,0.156516763191334,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.02,0.005129583038163,-0.0632648574708255,-0.0865027954455679,0.296507693375185,0.0521901481523384,-0.0361239982392072,-0.213321302727247,0.223368681003673,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.03,0.0149002173966042,-0.0828061261876203,-0.145156711532935,0.413936017767776,0.0642108716120078,-0.0543675912607172,-0.285586979945663,0.332946804450825,2.61705109019401,-0.144963141214248,-0.144963141214248,-0.144963141214248
0.04,4.55824519406925,-0.0437235887539251,4.84042615589272,-0.0557772798038018,-2.24499818059222,-3.96730313570901,-2.37588587738103,-4.2175825745626,2.61705109019401,-0.144963141214248,35.7692736125786,1999.73601449021
0.05,4.28466743203327,0.532743838393362,6.54138972242475,-4.87033857991078,3.96528775754422,-1.70841564039393,7.64147221552541,2.84918931679956,-1.8539030384067,93.8521894775067,64.6398276311964,1999.73601449021
0.06,4.51916265663546,0.0539827548303453,6.89331321895067,-1.23006052373283,2.11600388827926,3.99352886551913,2.06072184669851,6.69210292039397,-0.475303112418564,189.985641019381,320.3303938877,1999.73601449021
0.07,4.54847455971079,-0.170741835413617,7.94908370852285,-0.995203874947049,-2.08064011188285,-4.04829721235,-3.0288414496064,-7.4165006594053,2.62932331101586,454.886707490322,511.535251221134,1999.73601449021
0.08,4.53870392535244,-0.0241823200370456,9.35677769461946,-1.81720214569792,-0.226004217227048,4.53313800809192,-2.23152006881414,9.26670549048242,0.0444868004776846,583.780608204365,629.599337136954,1999.73601449021
0.09,4.50939202227704,-0.190283104130509,10.7058177646289,-0.995203874946935,3.20184367923136,3.181040886889,7.23511852286719,7.95349135425551,-0.830829349617912,738.103180186172,747.486415427757,1999.73601449021
0.1,4.5387039253526,0.171230367131545,11.0577412611517,-6.04462182384172,4.38382418649319,1.18795566523184,8.75637629876664,9.06294482528932,-1.26845674411529,655.034245028318,875.322542989187,1999.73601449021
0.11,4.4996213879186,-0.0534942231124469,12.7587048276867,-4.75291025552038,0.66255447648458,4.45089607070432,-2.66402729433822,13.3520658833038,-0.159661592887228,877.368506986456,1068.55993615521,1999.73601449021
0.12,4.52893329099388,-0.121888663621446,13.9904370655212,-4.40062528234208,-3.84738864247636,-2.39242434244763,-9.85279452829943,-10.8637135521427,2.10020651029455,1053.76820241125,1212.66245408864,1999.73601449021
0.13,4.48985075356025,-0.0144116856788673,15.3981310516176,-5.34005187748433,3.26714294195839,3.07973123547188,7.58818939612177,14.423521609704,-0.818127601069962,1238.52937182131,1369.5156247377,1999.73601449021
0.14,4.53870392535234,-0.0144116856786753,16.5125554572776,-5.45748020187821,2.90820087094499,-3.48459591817009,14.7412035799521,-9.22743165230547,-2.44928983156469,1406.6176436928,1524.54988944653,1999.73601449021
0.15,4.55824519406931,0.151689098414508,17.6856337790246,-6.86662009459238,-0.722759721517419,-4.50313526521087,4.59192385504786,-18.407779578175,3.01571418358015,1594.19994842366,1680.56074794875,1999.73601449021
0.16,4.55824519406923,-0.0534942231124317,18.8587121007721,-6.04462182384275,2.51372466596014,-3.80284751007784,15.295239869488,-12.5795116132507,-2.56925079009731,1754.5047677614,1840.4169445127,1999.73601449021
