Motor Name,Nominal Voltage (V),Nominal Current (A),Nominal Power (W),Nominal Speed (rpm),Nominal Torque (mNm),Terminal Resistance (Ω),Terminal Inductance (mH),Torque Constant (mNm/A),Speed Constant (rpm/V),Rotor Inertia (gcm²),Number of Pole Pairs
ECX SPEED 4 M (3V),3,0.322,0.5,12100,0.229,6.23,0.0749,0.763,12500,0.00111,1
ECX SPEED 4 M (6V),6,0.167,1.0,13400,0.239,22.8,0.285,1.53,6240,0.00111,1
ECX SPEED 4 L (3V),3,0.482,0.5,10700,0.342,3.11,0.0374,0.763,12500,0.00111,1
ECX SPEED 4 L (6V),6,0.251,1.0,11900,0.357,12.1,0.142,1.53,6240,0.00111,1
ECX SPEED 6 M (3V),3,1.24,1.5,52300,0.413,0.766,0.0629,0.37,25800,0.00703,1
ECX SPEED 6 M (6V),6,0.517,3.0,44900,0.412,3.49,0.0301,0.882,10800,0.00703,1
ECX SPEED 6 M (12V),12,0.268,3.0,46800,0.425,12.4,0.116,1.75,5460,0.00703,1
ECX SPEED 8 M (6V),6,0.687,2.0,24200,0.917,3.02,0.039,1.53,6230,0.0249,1
ECX SPEED 8 M (12V),12,0.406,4.7,33100,0.874,7.8,0.106,2.51,3760,0.0249,1
ECX SPEED 8 M (24V),24,0.196,4.7,32300,0.877,31.8,0.447,5.19,1840,0.0249,1
ECX SPEED 10 M (9V),9,1.44,8.0,52300,1.83,0.82,0.00599,1.42,6700,0.0581,1
ECX SPEED 10 M (18V),18,0.728,10.7,53400,1.85,2.77,0.0239,2.85,3350,0.0581,1
ECX SPEED 10 M (36V),36,0.356,10.7,52800,1.83,11.3,0.0982,5.77,1650,0.0581,1
ECX SPEED 10 L (12V),12,1.74,16.0,50500,3.34,0.666,0.0214,2.02,4720,0.349,1
ECX SPEED 10 L (24V),24,0.889,19.1,51400,3.31,2.27,0.0955,4.05,2360,0.349,1
ECX SPEED 10 L (36V),36,0.604,19.1,51600,3.38,4.74,0.152,6.07,1570,0.349,1
ECX SPEED 13 M (18V),18,1.2,12.0,38400,4.21,2.4,0.0546,3.72,2570,0.244,1
ECX SPEED 13 M (24V),24,0.899,18.0,38400,4.23,4.22,0.0978,4.98,1920,0.244,1
ECX SPEED 13 M (36V),36,0.56,18.0,36900,4.05,10.9,0.232,7.66,1250,0.244,1
ECX SPEED 13 M (48V),48,0.419,18.0,37300,3.99,19.3,0.404,10.1,943,0.244,1
ECX SPEED 13 M High Power (18V),18,2.37,25.0,61400,5.88,0.576,0.0204,2.57,3720,0.244,1
ECX SPEED 13 M High Power (24V),24,1.76,36.0,61600,5.84,0.973,0.0362,3.42,2790,0.244,1
ECX SPEED 13 M High Power (36V),36,1.12,36.0,61600,5.52,2.33,0.0814,5.13,1860,0.244,1
ECX SPEED 13 M High Power (48V),48,0.831,36.0,59100,5.72,4.24,0.157,7.13,1340,0.244,1
ECX SPEED 13 M Sterilizable (18V),18,2.45,25.0,72500,4.92,0.576,0.0207,2.16,4420,0.13,1
ECX SPEED 13 M Sterilizable (24V),24,1.83,40.0,72800,4.89,0.973,0.0369,2.88,3310,0.13,1
ECX SPEED 13 M Sterilizable (36V),36,1.16,40.0,72800,4.67,2.33,0.0829,4.32,2210,0.13,1
ECX SPEED 13 M Sterilizable (48V),48,0.856,40.0,69800,4.77,4.24,0.16,6.0,1590,0.13,1
ECX SPEED 13 L (18V),18,4.23,25.0,43800,14.2,0.302,0.0231,3.6,2660,1.67,1
ECX SPEED 13 L (24V),24,3.37,25.0,45000,14.8,0.45,0.0365,4.71,2030,1.67,1
ECX SPEED 13 L (36V),36,2.28,25.0,46000,14.8,0.924,0.066,6.94,1380,1.67,1
ECX SPEED 13 L High Power (18V),18,3.33,50.0,63000,8.28,0.304,0.0166,2.55,3750,0.349,1
ECX SPEED 13 L High Power (24V),24,2.62,54.0,61700,8.57,0.512,0.005,3.48,2750,0.349,1
ECX SPEED 13 L High Power (36V),36,1.66,54.0,63300,8.27,1.13,0.0664,5.1,1870,0.349,1
ECX SPEED 13 L High Power (48V),48,1.17,54.0,57700,8.5,2.34,0.141,7.42,1290,0.349,1
ECX SPEED 13 L Sterilizable (18V),18,3.22,50.0,66400,7.29,0.344,0.0128,2.41,3960,0.315,1
ECX SPEED 13 L Sterilizable (24V),24,2.44,62.0,65300,7.57,0.552,0.0238,3.29,2910,0.315,1
ECX SPEED 13 L Sterilizable (36V),36,1.6,62.0,67100,7.26,1.17,0.0512,4.82,1980,0.315,1
ECX SPEED 13 L Sterilizable (48V),48,1.14,62.0,61200,7.56,2.38,0.108,7.01,1360,0.315,1
ECX SPEED 13 L Sterilizable Ceramic (18V),18,3.22,50.0,66400,7.29,0.344,0.0128,2.41,3960,0.315,1
ECX SPEED 13 L Sterilizable Ceramic (24V),24,2.44,59.0,65300,7.57,0.552,0.0238,3.29,2910,0.315,1
ECX SPEED 13 L Sterilizable Ceramic (36V),36,1.6,59.0,67100,7.26,1.17,0.0512,4.82,1980,0.315,1
ECX SPEED 13 L Sterilizable Ceramic (48V),48,1.14,59.0,61200,7.56,2.38,0.108,7.01,1360,0.315,1
ECX SPEED 16 M (18V),18,1.46,20.0,45000,4.34,1.07,0.0453,3.45,2760,0.806,1
ECX SPEED 16 M (24V),24,1.14,22.0,45200,4.54,1.73,0.0805,4.61,2070,0.806,1
ECX SPEED 16 M (36V),36,0.781,22.0,45400,4.68,3.62,0.181,6.91,1380,0.806,1
ECX SPEED 16 M (48V),48,0.553,22.0,45200,4.38,7.29,0.322,9.21,1040,0.806,1
