t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r,"T_ass:1.62,S_pct:11.18,kp:0.0451,ki:1.0480"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.000401429761498359,6.65757033857517e-06,0.000227964642973812,-0.0197358578876971,-0.0114032284261669,-0.000424415675472197,0.000181617912872837,0.0208878201036994,-0.00912341363844734,1.68291940342192,-0.00128733340830904,0,0
0.02,0.00050998869588992,9.37530148803489e-06,0.000287758682175056,-0.0250272080569816,-0.0143942376904914,-0.000538980756619612,0.000228895769066133,0.0264804809706724,-0.0115038840997145,1.68290873409349,-0.00158447262138407,0,0
0.03,0.000554023257479232,1.16082692329655e-05,0.000311951242630602,-0.0271170140759392,-0.0156044018112552,-0.0005854425400696,0.000248016894351034,0.0286924098543817,-0.012472987814873,1.68289689463805,-0.0016626466235895,0,0
0.04,0.000549442249396046,1.29694108181866e-05,0.000309210900300567,-0.0268199509525329,-0.0154673161096537,-0.000580580875921356,0.000245812963043988,0.0283817322235928,-0.0123703238729023,1.6828852649121,-0.00158199515724645,0,0
0.05,0.000562865100788954,1.4613673556596e-05,0.000317020312797302,-0.027408781394503,-0.0158579602507131,-0.000594790143139063,0.000252078729838263,0.0290104183931067,-0.0126929833176345,1.68287388944468,-0.00156203324927199,0,0
0.06,0.000565748405027262,1.60382260219194e-05,0.000318865308672289,-0.0274816745416253,-0.0159502496925055,-0.000597858897760632,0.000253596295781321,0.0290930345879137,-0.0127768634387139,1.68286281096398,-0.00150905741164155,0,0
0.07,0.000573360691566485,1.74822798726382e-05,0.000323550077987903,-0.0277899896448081,-0.0161845864645362,-0.000605944628097996,0.000257406766186822,0.0294254852901602,-0.0129755608327793,1.68285227246097,-0.00147469040144938,0,0
0.08,0.000567534777404185,1.86621691682376e-05,0.000320406537099101,-0.0274396793543887,-0.0160273482195519,-0.000599801104556094,0.000254940596124555,0.029059656655224,-0.0128587810115475,1.68284194821017,-0.0013973026964431,0,0
0.09,0.000565721632089345,1.98500110855093e-05,0.000319662082559596,-0.0272895642652267,-0.0159901121235362,-0.000597913590162093,0.000254409415587643,0.0289061932870067,-0.0128388470340371,1.68283212125709,-0.00133592628276754,0,0
0.1,0.000564914037349902,2.10024445550516e-05,0.000319484896805662,-0.0271914734267001,-0.0159812472953053,-0.000597088858076707,0.00025432924417484,0.028807605605082,-0.012841275307799,1.68282272044605,-0.00128026183562828,0,0
0.11,0.000564369428332167,2.21103364310693e-05,0.000319441879425473,-0.0271087411762275,-0.0159790912128134,-0.000596540563486578,0.000254352751276592,0.0287250352207519,-0.0128486402281979,1.68281371557594,-0.00122769555024423,0,0
0.12,0.000563904004869013,2.31729227380129e-05,0.000319430630085693,-0.027032217662371,-0.0159785345245939,-0.00059607460446804,0.000254398742238485,0.0286488181465591,-0.0128568882745719,1.6828050870744,-0.00117751231495025,0,0
0.13,0.000583687590758137,2.45683586399537e-05,0.000330948136504811,-0.0279513481085424,-0.0165546539063389,-0.000617019353130386,0.000263637991426891,0.0296264717400862,-0.0133269125935999,1.6827966259373,-0.00119491766811543,0,0
0.14,0.000594911965977603,2.52852387347957e-05,0.000337613783772174,-0.0284764914911689,-0.0168880841394051,-0.000628916177694979,0.000269012556751239,0.0301854789156438,-0.0135998094170272,1.682788376355,-0.00118534521633162,0,0
0.15,0.000570484911802377,2.63502734014764e-05,0.000323723931302664,-0.0272018889270071,-0.0161932887344127,-0.000603087787701355,0.000257944448704957,0.0288411080743229,-0.0130520437586807,1.682780401273,-0.00105998127367312,0,0
0.16,0.000564182363217984,2.71516364591662e-05,0.000320439029805752,-0.0268465547365527,-0.0160289804480016,-0.000596455753629494,0.000255388810936098,0.0284695432186415,-0.0129286822355197,1.68277306235419,-0.000997857756467756,0,0
0.17,0.000562362005486497,2.79835330729838e-05,0.000319661507867446,-0.0267137595728599,-0.0159900781480025,-0.000594558140912775,0.000254823707494475,0.0283331428820684,-0.0129050596325662,1.68276610426874,-0.000952633117524757,0,0
0.18,0.000561658060852244,2.87965413008351e-05,0.000319476845010388,-0.0266377098656939,-0.0159808439157103,-0.000593836277164716,0.000254722805695223,0.0282564517984967,-0.0129045686059789,1.6827594547055,-0.000912823024279782,0,0
0.19,0.000561240213433503,2.95795689453371e-05,0.000319432387109296,-0.0265774507719651,-0.0159786206717976,-0.000593414456715104,0.000254729090742979,0.0281962394016355,-0.0129092715408378,1.68275308688397,-0.000875542915878347,0,0
0.2,0.000560903159860761,3.03309370792704e-05,0.000319421111107328,-0.02652280298484,-0.0159780545238918,-0.000593076699175663,0.000254759160498157,0.0281417916943571,-0.012914986053903,1.68274698562653,-0.000840031525518892,0,0
0.21,0.000560595734383241,3.10512405121699e-05,0.000319417712032473,-0.0264711792857985,-0.0159778812053179,-0.00059276932874741,0.000254793593061305,0.028090396250967,-0.0129207452980003,1.68274113897468,-0.000806053371003316,0,0
0.22,0.000560304862201296,3.17415979225188e-05,0.000319416205689714,-0.0264218705236043,-0.0159778129202446,-0.000592478681182656,0.000254827909397082,0.0280413160737521,-0.0129263428908713,1.68273553610644,-0.000773504643568556,0,0
0.23,0.000560027180955054,3.2403211662313e-05,0.000319415175975399,-0.0263746489007728,-0.0159777531115229,-0.000592201254405773,0.000254861084381451,0.0279943138799506,-0.0129317086853448,1.68273016680824,-0.000742315917727758,0,0
0.24,0.000559761279885673,3.30372713506222e-05,0.000319414286877279,-0.0263293848031536,-0.0159777110301012,-0.000591935606509215,0.000254892947856812,0.0279492617810188,-0.0129368666905874,1.68272502133115,-0.000712428075269159,0,0
0.25,0.000559506496481838,3.36449265887495e-05,0.00031941345779984,-0.0262859880088072,-0.0159776718626995,-0.000591681067785594,0.000254923499609453,0.0279060683508154,-0.0129418125836713,1.68272009034217,-0.00068378629078069,0,0
0.26,0.000562801578503479,3.42814601026475e-05,0.000321457942031788,-0.0264186074002318,-0.0160799407447269,-0.000595182684075525,0.00025658994103038,0.0280492195794646,-0.013028760198288,1.68271542310792,-0.000668315318765337,0,0
0.27,0.000554808145112473,3.47213972418103e-05,0.000316919798378643,-0.0259967019597059,-0.0158529334818787,-0.000586731236382017,0.000252975676184751,0.027604540409897,-0.0128504226203269,1.68271076174883,-0.000615723575505761,0,0
0.28,0.000554134479969689,3.57342287315987e-05,0.00031667961926583,-0.0259120810768721,-0.0158409157227228,-0.000586033863621576,0.000252814781684927,0.0275190509221646,-0.0128480501638229,1.68270641642739,-0.000589005144177731,0,0
0.29,0.000557437624788351,3.58150282409042e-05,0.000318764666259469,-0.0260728670069906,-0.0159452214352779,-0.000589548154372275,0.00025452031679501,0.0276904266011358,-0.0129338608014535,1.68270231998409,-0.000576779343692552,0,0
0.3,0.000549554633904072,3.61210295523051e-05,0.000314506622287543,-0.025663155146853,-0.0157322287146544,-0.000581238064161753,0.000251171303849893,0.027259446256405,-0.0127680516217554,1.68269873570949,-0.000530624361273954,0,0
0.31,0.000556028443576338,3.66956519428641e-05,0.000318249984376855,-0.0259577479651851,-0.0159194707425091,-0.000588088454286358,0.000254170518661933,0.0275730575525718,-0.0129213283120676,1.68269501233608,-0.00053093713337726,0,0
0.32,0.000557483826512232,3.71744135918561e-05,0.000319134572135482,-0.0260062413225658,-0.0159637232536796,-0.000589632581866787,0.000254889211925348,0.0276261417609095,-0.0129599899403406,1.68269135986216,-0.000515133178572799,0,0
0.33,0.0005577074305678,3.76154966943432e-05,0.000319343273495009,-0.0259950320981438,-0.0159741660604764,-0.000589877193394935,0.000255073717088924,0.0276161230237578,-0.0129717163185092,1.68268783884559,-0.00049601604333388,0,0
0.34,0.000557632883820547,3.80338315153494e-05,0.000319392192129717,-0.0259700488649255,-0.0159766147554753,-0.000589807712793637,0.000255132646755732,0.0275915255816202,-0.0129770325255926,1.68268445947219,-0.000476716116777088,0,0
0.35,0.00055749017322689,3.84336744900793e-05,0.000319403350677357,-0.0259425767776283,-0.0159771736757459,-0.000589666313805915,0.000255161580240864,0.027564245627556,-0.0129807446439658,1.68268121970153,-0.00045797906199053,0,0
0.36,0.000557335820459837,3.88165972253773e-05,0.000319405598458754,-0.0259153631800736,-0.0159772859709896,-0.0005895123847628,0.000255182878159391,0.0275371744077881,-0.0129839801828622,1.68267811466737,-0.000439963453708919,0,0
0.37,0.000557183621221326,3.91835201298818e-05,0.000319405755675348,-0.0258890519691012,-0.0159772920585583,-0.000589360395267653,0.000255201780961274,0.0275109897354829,-0.0129870057040662,1.68267513898827,-0.000422684118209472,0,0
0.38,0.000557036718843018,3.95351489714812e-05,0.000319405434168814,-0.025863765219925,-0.0159772734055644,-0.00058921364761838,0.000255219542700412,0.0274858219516281,-0.0129898887012536,1.68267228733013,-0.000406121438689847,0,0
0.39,0.000556895637221603,3.98721313104033e-05,0.000319405014385422,-0.0258394969554022,-0.0159772489242719,-0.000589072703609562,0.000255236486093052,0.0274616671630906,-0.0129926487953773,1.6826695545375,-0.000390248273145345,0,0
0.4,0.000556760282179374,4.01950965169817e-05,0.000319404585656918,-0.0258162111998848,-0.0159772362526634,-0.000588937478373296,0.000255252713439893,0.0274384915257853,-0.0129953076831558,1.68266693565908,-0.00037503655320105,0,0
0.41,0.000556630725671846,4.05046193918679e-05,0.000319404168511654,-0.0257938830054607,-0.015977210294404,-0.000588808044505711,0.000255268239994613,0.0274162673860839,-0.0129978433559476,1.68266442594718,-0.000360458872951794,0,0
0.42,0.000556506524266306,4.08012601837981e-05,0.000319403767235537,-0.0257724623745651,-0.0159771828720938,-0.000588683960672483,0.000255283122282255,0.0273949463212971,-0.0130002732828951,1.6826620208516,-0.000346488843707739,0,0
0.43,0.000556387350953153,4.10855536756571e-05,0.000319403382296567,-0.0257519063964889,-0.0159771701612272,-0.000588564900855633,0.000255297399916161,0.0273744874393893,-0.0130026184611043,1.6826597160113,-0.000333101145904901,0,0
0.44,0.000556273183498704,4.13580164604355e-05,0.000319403013283728,-0.0257321883012957,-0.0159771574358745,-0.000588450841855703,0.000255311077499239,0.0273548624408341,-0.013004867371377,1.6826575072474,-0.000320271507798256,0,0
0.45,0.000556163941463288,4.16191469412297e-05,0.000319402659598996,-0.0257132793110437,-0.015977131436758,-0.000588341702653961,0.000255324165838508,0.0273360411966392,-0.0130070101703211,1.68265539055488,-0.000307976667521595,0,0
0.46,0.000556059087231815,4.18694071413483e-05,0.000319402320621282,-0.0256951296012736,-0.0159771172315819,-0.000588236947952855,0.000255336726646303,0.0273179769431995,-0.0130090774457215,1.68265336209585,-0.000296194332405942,0,0
0.47,0.000555958656784806,4.21092627220787e-05,0.000319401995743486,-0.0256777178387623,-0.0159771044683805,-0.000588136612507328,0.000255348757520558,0.0273006472782387,-0.0130110614013551,1.68265141819227,-0.000284903138929152,0,0
0.48,0.00055586241728925,4.23391393269412e-05,0.00031940168438127,-0.0256610112442258,-0.0159770916926892,-0.000588040463979923,0.000255360285993176,0.027284019420074,-0.0130129643555151,1.6826495553195,-0.000274082614069532,0,0
0.49,0.000555770230094746,4.25594516855199e-05,0.000319401385973561,-0.0256449822871696,-0.0159770641995066,-0.000587948363666798,0.00025537132901509,0.0272680643258394,-0.0130147748680597,1.68264777009984,-0.000263713138208247,0,0
0.5,0.000555681906840672,4.27706072514411e-05,0.00031940109998231,-0.025629601309749,-0.0159770514017937,-0.000587860123502541,0.000255381909021707,0.0272527557647603,-0.0130165255739991,1.68264605929632,-0.000253775909559646,0,0
0.51,4.50150546827775,4.59999990463257,-0.00677166096594919,4.9253049836012,0.34256718764646,-0.281106551959276,4.49272483497179,0.0417541389937326,4.93702724839713,0.0609835096024075,18.9858549160106,1158.23719769827,0
0.52,4.52703337224926,4.59999990463257,0.0195988719658439,3.64947659872093,-0.972265407912336,-1.22951767692437,4.35691422354989,-1.94093350901607,3.2398698402271,0.279376117231902,40.6074015373928,1158.23719769827,0
0.53,4.51746693073378,4.59999990463257,-0.027788626071942,4.12840745207429,1.40313477900397,-2.78058752724786,3.56042310425684,-1.40985773115894,4.12611639150963,0.656878477771945,62.4673301450643,1158.23719769827,0
0.54,4.53539700805912,4.59999990463257,0.017422699224978,3.23254879727159,-0.85365889105433,-4.21621543875166,1.67142362828579,-3.32113254214106,0.384946576228129,1.19721497883318,85.1649563712391,1158.23719769827,0
0.55,4.5284095699395,4.59999990463257,-0.00766140393026982,3.58260020686838,0.403539178567044,-4.26780176630748,-1.51407397894972,-3.51271970584371,-0.81158387063152,1.91001947673587,109.564711434765,1158.23719769827,0
0.56,4.51485832334916,4.59999990463257,0.0548933298011627,4.26087282616871,-2.72134948809307,-1.56292642606809,-4.23606184377305,1.13819242516506,-4.92598196103318,2.80028786131933,132.887526341608,1158.23719769827,0
