t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r,"T_ass:0.23,S_pct:4.89,kp:0.1389,ki:8.1030"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.00075585083423975,0.000137179711600766,0.000386853779641022,-0.0309286293048765,-0.0193515288276763,0.000822609559363963,-0.000210427762632446,-0.0344378994237106,0.0120454498433742,-1.34817839578919,-0.00724168848302952,0,0
0.02,0.000971321423913331,0.00019641435937956,0.000485166584761213,-0.0387386811220061,-0.0242694224437386,0.0010544547531583,-0.000258799337448435,-0.0431401909215845,0.0151199936532511,-1.34823268877472,-0.00723651110908961,0,0
0.03,0.00103325426035677,0.000233010447118431,0.000524570672592679,-0.0400041451527827,-0.0262405271671594,0.00112354433569172,-0.000283613967964919,-0.044808735607466,0.0167652649449851,-1.3482798024618,-0.00575915389011876,0,0
0.04,0.000991797933362819,0.000243021990172565,0.000519248855840071,-0.0374294919293559,-0.0259743228381007,0.00108192623174068,-0.000287607621570416,-0.0422382528084921,0.0170751958311905,-1.34831259635291,-0.00373476719359091,0,0
0.05,0.000987304280714011,0.000254147569648921,0.000532310962630655,-0.036646631465468,-0.0266277120132752,0.00108041884514623,-0.00030136327365139,-0.0416184635216534,0.0178861437689782,-1.34833477061181,-0.00264317718128762,0,0
0.06,0.000971547568121687,0.000259281165199354,0.00053527871085648,-0.0356000230752803,-0.0267761677184768,0.00106570063366435,-0.000307750117508912,-0.0406301294686436,0.0182624582137715,-1.34834960284079,-0.00176283330569983,0,0
0.07,0.000969479732653896,0.000263824098510668,0.00054332449242597,-0.0352671165084849,-0.0271786512532929,0.00106545602782615,-0.000316063140630984,-0.0403940568960335,0.0187288215926999,-1.34835831821325,-0.00133024297308689,0,0
0.08,0.000950960138093658,0.000263974739937112,0.000537780399289081,-0.0343312418010301,-0.0269013155195988,0.00104616759292316,-0.000314748009715688,-0.0394199360270067,0.018665036402657,-1.34836481323198,-0.000807875750535647,0,0
0.09,0.000941264050975421,0.000264189409790561,0.000536518612498195,-0.0338332030238135,-0.0268381919333926,0.00103643088016473,-0.000315660047925939,-0.0389201738129712,0.0187134775889546,-1.34836844536885,-0.0005235363319347,0,0
0.1,0.000936036653841398,0.000264370057266206,0.000536231170055569,-0.0335602256848436,-0.0268238239680593,0.00103126820041699,-0.000316534964707637,-0.038650713176021,0.0187597614929408,-1.34837050387215,-0.000365544830922356,0,0
0.11,0.00093315335508641,0.000264503090875223,0.000536165532231799,-0.0334067930758152,-0.0268205396540365,0.0010284410782366,-0.00031710820023765,-0.0385003137118057,0.0187904501020232,-1.34837168162159,-0.000276416164632793,0,0
0.12,0.000931535553126847,0.000264597532805055,0.000536150452905488,-0.0333185419036622,-0.0268197732903472,0.00102685958834976,-0.000317451068204641,-0.0384140547533515,0.0188091964564736,-1.3483723599026,-0.00022558744069472,0,0
0.13,0.000968062198770933,0.00027220108313486,0.000555766065726674,-0.0347617987835039,-0.0278010074341829,0.00106681300714856,-0.000328527545696193,-0.0400381824574711,0.0194479462803289,-1.34837391730519,-0.000582871576263946,0,0
0.14,0.000987509419223985,0.000267488794634119,0.000567176140807671,-0.0359669691868672,-0.0283717803943613,0.00108829752541879,-0.000335368638851219,-0.0413395365970178,0.0197388831796213,-1.34837576906351,-0.000725195897967361,0,0
0.15,0.000944929381789071,0.000269798038061708,0.000543202554742915,-0.0337200895667451,-0.0271725575779628,0.00104147751011587,-0.000321380067786326,-0.038883437124853,0.0190649060599474,-1.34837737899222,-0.000148251021521022,0,0
0.16,0.000931305950844757,0.000266985589405522,0.000537749990524081,-0.0331769115972704,-0.026899793768214,0.0010269871046547,-0.000319066314831988,-0.0382934832767322,0.0189186549849659,-1.34837670625422,-1.9297598685696e-05,0,0
0.17,0.000927720058396788,0.000265809940174222,0.000536510067950934,-0.0330537114461932,-0.0268377723638783,0.00102321635513858,-0.000318646905431986,-0.0381596559081424,0.0188852992244159,-1.34837568651228,-2.48270163101742e-05,0,0
0.18,0.00092732449109365,0.000265310838585719,0.000536228251126602,-0.0330561909939291,-0.0268236856388413,0.00102276863300425,-0.000318458431244986,-0.0381589828021636,0.0188709805199064,-1.34837484737733,-5.9474576563102e-05,0,0
0.19,0.000927753825544659,0.000265098351519555,0.000536164289451529,-0.0330855893403714,-0.0268204742429301,0.00102317346796845,-0.000318300739146527,-0.0381869595740064,0.0188613408618947,-1.348374262668,-9.19187723166861e-05,0,0
0.2,0.000928261162324536,0.000265010981820524,0.000536149828725091,-0.0331126382723364,-0.0268197447496262,0.0010236652374413,-0.000318174332679896,-0.0382131883938854,0.0188546480890818,-1.34837388442699,-0.000115610756306928,0,0
0.21,0.000928657148773632,0.000264980277279392,0.000536146593312282,-0.0331312915265622,-0.0268195802501328,0.00102405083023059,-0.000318083584286851,-0.0382313502883328,0.0188503638729377,-1.34837364925442,-0.000131290192254697,0,0
0.22,0.000928926860041121,0.00026497631915845,0.000536145889784933,-0.0331422971593905,-0.0268195664528209,0.00102431378764687,-0.000318023255243471,-0.0382420844566112,0.0188479171828623,-1.3483735063708,-0.000141162938056566,0,0
0.23,0.000929099678571593,0.000264985457761213,0.000536145749061635,-0.0331478054651509,-0.0268195570999003,0.00102448234511542,-0.000317984907669396,-0.0382474566199333,0.0188466896906756,-1.34837342077697,-0.000147206589943617,0,0
0.24,0.000929206373208958,0.000265001319348812,0.00053614572847307,-0.0331496726691401,-0.0268195538358744,0.0010245864230365,-0.000317961299376724,-0.0382492780646497,0.0188462726702021,-1.34837336995736,-0.00015084393741186,0,0
0.25,0.000929270983712358,0.000265020731603727,0.000536145730516813,-0.0331492587932794,-0.0268195536532518,0.00102464945190286,-0.000317947017970449,-0.0382488749093977,0.018846362642927,-1.34837333995669,-0.000153009958611801,0,0
0.26,0.000935511714395561,0.000266006449237466,0.00053967519077683,-0.0334092970740531,-0.0269961036227694,0.00103151512569484,-0.000320012538463867,-0.0385414592014703,0.0189611883703275,-1.34837302066143,-0.000241472093780674,0,0
0.27,0.000923179739811115,0.000264242204139009,0.000531761491360069,-0.0328783239604034,-0.0266002277352643,0.00101774096149062,-0.000315015001222725,-0.0379362226946998,0.0186922259153719,-1.34837386174319,-5.68204219726215e-05,0,0
0.28,0.000921824575887661,0.000272876786766574,0.000531378448382975,-0.0323761680644877,-0.0265810681665719,0.00101633470292011,-0.000314940273316483,-0.0374422115928784,0.0187843081972698,-1.34837380212755,-4.3651205356226e-05,0,0
0.29,0.000926809526282121,0.000264661648543552,0.000535061424779209,-0.0330334596010655,-0.0267653159541882,0.00102200944370898,-0.00031743239164222,-0.038123964092088,0.018819005107814,-1.348373326992,-0.000124624583528792,0,0
0.3,0.000911020686585806,0.000260465429164469,0.000528004206604771,-0.0324512607701694,-0.026412277616536,0.00100505349914829,-0.000314029612344722,-0.0374782723287911,0.018603006147273,-1.34837101208241,-4.70841032708545e-05,0,0
0.31,0.00092543440211052,0.000263095513219014,0.00053429452310051,-0.0330377009571672,-0.0267269348127402,0.001020499761817,-0.000316985340601581,-0.0381196782229946,0.0187805447523501,-1.34837098997622,-0.0002178927935509,0,0
0.32,0.000929705737874879,0.00026420786161907,0.000535725093874943,-0.0331929767317279,-0.0267985062811681,0.0010249812677879,-0.00031743902710394,-0.0382869062465859,0.0188161221637185,-1.3483715718332,-0.000240949196798046,0,0
0.33,0.000930588483397225,0.000264698872342706,0.000536050334839825,-0.0332099052173269,-0.0268147870953632,0.00102591383256554,-0.000317562112135767,-0.0383069984271417,0.018828289434159,-1.34837214278245,-0.000224604860202496,0,0
0.34,0.000930477859587941,0.000264930014964193,0.000536124210185983,-0.0331901581128097,-0.0268184669467105,0.00102582209597455,-0.000317659004816936,-0.038288541564927,0.0188362509474675,-1.34837256603654,-0.00020347459302327,0,0
0.35,0.000930169709600797,0.000265049457084388,0.000536140947656528,-0.0331661156678838,-0.0268193092674671,0.00102552513962574,-0.000317743595385449,-0.0382652718862464,0.0188423869387914,-1.34837284811379,-0.000186632457828401,0,0
0.36,0.000929895086165358,0.000265119160758331,0.000536144713796232,-0.0331462325870686,-0.0268194996138769,0.00102525805547057,-0.000317808031834976,-0.0382459172401264,0.0188469655041918,-1.34837302640168,-0.000175047384763317,0,0
0.37,0.000929697878681876,0.000265165930613875,0.000536145545590776,-0.0331313640761063,-0.0268195441462728,0.00102506585476692,-0.00031785245802633,-0.0382314227654719,0.0188502930238534,-1.34837313578484,-0.000167602178629756,0,0
0.38,0.000929568541273963,0.000265201611910015,0.000536145719908624,-0.0331204414791128,-0.026819553482501,0.00102493972098412,-0.000317881226642192,-0.0382207700549174,0.0188527141064941,-1.34837320170706,-0.000162990297037049,0,0
0.39,0.000929487399794918,0.000265231763478369,0.000536145750723848,-0.0331122038047663,-0.0268195538925192,0.00102486057266874,-0.000317899196264889,-0.038212734658836,0.0188545331868895,-1.34837324099764,-0.000160194535801854,0,0
0.4,0.000929437923288042,0.000265259033767506,0.000536145752516759,-0.0331056925173658,-0.0268195570843238,0.00102481230797952,-0.000317910136047025,-0.0382063840374613,0.018855973537203,-1.34837326425018,-0.000158522087202762,0,0
0.41,0.000929408179173413,0.000265284790657461,0.000536145749856203,-0.0331002428674406,-0.0268195572855275,0.00102478329164554,-0.000317916708852253,-0.0382010684213715,0.0188571764148543,-1.3483732779484,-0.000157529987987226,0,0
0.42,0.000929390425836893,0.000265309674432501,0.000536145747450775,-0.0330954359274299,-0.0268195574379492,0.00102476597255969,-0.000317920631023876,-0.0381963797783599,0.0188582372511687,-1.34837328599403,-0.00015694465046598,0,0
0.43,0.000929380006665624,0.000265334034338593,0.000536145745849089,-0.0330910215053665,-0.0268195575605207,0.00102475580820352,-0.000317922932697558,-0.0381920740401171,0.0188592113441926,-1.34837329071048,-0.000156600517682607,0,0
0.44,0.000929373778441191,0.000265358190517873,0.000536145744867244,-0.0330868264938037,-0.0268195547556604,0.00102474973231188,-0.000317924308476154,-0.0381879816984655,0.018860134106644,-1.34837329347185,-0.000156398662168012,0,0
0.45,0.000929370169566227,0.000265382142970338,0.000536145744283129,-0.0330827723478254,-0.0268195548505297,0.00102474621169621,-0.000317925105656552,-0.0381840274135598,0.0188610285795638,-1.34837329508724,-0.00015628044178206,0,0
0.46,0.000929368074090441,0.000265406066318974,0.000536145743939297,-0.0330787950598736,-0.0268195549392443,0.00102474416746461,-0.000317925568537761,-0.0381801481046364,0.0188619060664687,-1.34837329603186,-0.000156211273714731,0,0
0.47,0.000929366793521905,0.000265429931459948,0.000536145743737747,-0.0330748611726073,-0.0268195550246388,0.00102474291822181,-0.000317925851392321,-0.038176311133925,0.0188627739612345,-1.34837329658411,-0.000156170832128344,0,0
0.48,0.000929366095029976,0.000265453738393262,0.000536145743619814,-0.0330709590516507,-0.0268195551076607,0.00102474223680798,-0.000317926005691089,-0.038172505150787,0.0188636348374841,-1.34837329690706,-0.000156147197014292,0,0
0.49,0.00092936562936869,0.000265477516222745,0.000536145743550718,-0.0330670697830836,-0.0268195551897359,0.00102474178254258,-0.000317926108539185,-0.0381687117057494,0.018864492872537,-1.34837329709597,-0.000156133388115705,0,0
0.5,0.000929365396538047,0.000265501235844567,0.000536145743510137,-0.0330631948259491,-0.0268195552708641,0.00102474155540342,-0.000317926159973884,-0.0381649322208621,0.0188653477466651,-1.34837329720656,-0.000156125321801876,0,0
0.51,4.49211939915361,4.59999990463257,0.0416768678419263,5.39474202064614,-2.06800849080033,-0.980920535195963,4.38391019082236,-3.24059133399345,4.78314419533783,0.229406345460769,70.4415575376805,708.610464222652,0
0.52,4.47267751368155,4.59999990463257,-0.0321906694804768,6.36759153567676,1.65032732101254,-3.87742326206683,2.22967917588543,-4.66405821472157,4.638573401531,1.04173382436133,152.123975272664,708.610464222652,0
0.53,4.46771528977557,4.59999990463257,-0.00698000785161312,6.61677248251175,0.399715806389968,-2.73972168629235,-3.52908681002089,-4.38109165683277,-4.9746845835322,2.47989239870232,238.730088117318,708.610464222652,0
0.54,4.43328477759382,4.59999990463257,-0.00419462421209008,8.33961495244176,0.276597389019348,4.35402237006118,-0.834578165976191,8.13669154656775,-1.84930645016324,-1.76112521701896,320.436107721915,708.610464222652,0
0.55,4.33779696808829,4.5839147567749,0.0228562966280612,12.3112230584087,-1.04188651466562,-3.35627844228491,2.74816301636295,-10.2221891229419,6.9396390567626,0.889958152743679,402.102259259276,708.610464222652,0
0.56,4.32396413045585,4.5690450668335,0.0297617470460845,12.2610937039357,-1.38945517168804,3.62089600857804,-2.36361241706834,11.0645819241,-5.46260298170229,-2.14223351570679,484.077644695148,708.610464222652,0
0.57,4.30100135207883,4.52876281738281,0.0340144436798573,11.3969337678533,-1.58931413116318,-4.26746728989942,-0.537115018037388,-11.0851780816346,-3.08785453264856,1.70390900232501,565.445775209055,708.610464222652,0
0.58,4.10362635544162,4.3620491027832,0.123396125373621,12.9319804524841,-6.01992825234683,0.7133494941722,4.04303207605338,-4.09390930458895,13.6643902605508,-0.14458083288617,643.887321570936,708.610464222652,0
0.59,3.3396838913754,3.63916397094727,0.0496819165718965,14.9869133067281,-2.36476919361539,3.31686224115194,0.39291431682637,14.5418985550752,4.32815090036817,-1.43801103111138,714.615320453343,708.610464222652,0
0.6,2.32535890801389,2.61566209793091,0.0356637764968455,14.5302235561363,-1.7093012015056,1.74807481577689,-1.53388408769377,12.1749488277896,-8.11293585759629,-2.27568814856106,768.138555026233,708.610464222652,0
0.61,1.22273170840297,1.48822784423828,0.0311052397167574,13.2918802021843,-1.52798516817682,0.386257843264716,-1.16053661949478,5.95393669981265,-11.9816299291044,-2.79486427734014,801.319682529705,708.610464222652,0
0.62,0.178130346011681,0.437763214111328,0.0423206886691124,13.000743760608,-2.13250320921198,-0.0431241047869565,-0.177937552096213,2.07381316875854,-13.0102347099263,3.1370799482396,814.098276502033,708.610464222652,0
