t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r,"T_ass:2.20,S_pct:8.30,kp:0.0168,ki:2.6451"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.000820134797357467,6.36319873592583e-06,0.000459650497687215,-0.0406842099223826,-0.0229964504748181,-0.000365477971104477,-0.000866213321588876,0.0183236483339351,0.042991692025129,-3.03002041759028,-0.00199012198191728,0,0
0.02,0.000991822792809382,1.24796270029037e-05,0.000551647732533688,-0.0489621108573697,-0.0275991029844385,-0.000437803743411335,-0.00104706998591345,0.0219768264304126,0.0517302414956911,-3.03003612502,-0.00225442014652735,0,0
0.03,0.00105601960484565,1.86652669071918e-05,0.000587012342000194,-0.0518625433867785,-0.0293684219620161,-0.000465819970358187,-0.00111479713432284,0.0234131492891803,0.0548092333046821,-3.0300524254739,-0.00223695292192115,0,0
0.04,0.00103567442875484,2.40439039771445e-05,0.000576704425495331,-0.0505766110875829,-0.0288527028376004,-0.000457857193802493,-0.00109342412029636,0.0230445769201644,0.0534735404168278,-3.0300674990286,-0.00201676219508452,0,0
0.05,0.00105886504813096,2.92790864477865e-05,0.000591169306980835,-0.0514743235238831,-0.0295763816441579,-0.000469667055625054,-0.00111807387793923,0.0236646202728563,0.0544458821284382,-3.0300816506004,-0.00191829496685436,0,0
0.06,0.00106075963199733,3.40844526363071e-05,0.000593570288942878,-0.0513287711957652,-0.0296965074226328,-0.000471857095529982,-0.00112021764233066,0.0238009145966132,0.0543142869780542,-3.03009486193345,-0.001775801584026,0,0
0.07,0.00107661759159456,3.85228013328742e-05,0.000604171892522347,-0.0518995860915544,-0.0302269082058443,-0.000480642032200464,-0.0011371509799174,0.0242651675640844,0.0549402826644176,-3.030106847467,-0.00168272210691756,0,0
0.08,0.00105991480856236,4.25704674853478e-05,0.000595724712575259,-0.0508620208566677,-0.0298043063395996,-0.00047411825431703,-0.00111960672358915,0.0239612342070139,0.053861870532738,-3.03011818431546,-0.00151352962386885,0,0
0.09,0.00105511027941767,4.62851785414387e-05,0.000594316555461707,-0.0504358857797494,-0.0297338473007969,-0.000473264773678411,-0.00111467050011374,0.0239391667948616,0.0534302961143098,-3.03012846757779,-0.00138654375887373,0,0
0.1,0.00105260623083501,4.96945467602927e-05,0.000594079225764195,-0.0501399727460143,-0.0297219715334967,-0.000473317922582608,-0.00111215113534059,0.0239607804727325,0.0531346728412491,-3.03013788324664,-0.00127512279299506,0,0
0.11,0.0010506529013567,5.28237214894034e-05,0.000594036854912263,-0.0498855510322378,-0.0297198573208721,-0.000473502661339405,-0.00111020112314292,0.0239874339790002,0.0528813873878712,-3.0301465206547,-0.00117379176080703,0,0
0.12,0.00104892297447166,5.56957493245136e-05,0.000594027140985409,-0.0496551086010971,-0.0297193611105643,-0.00047369418874456,-0.00110847709320103,0.0240129869779967,0.0526521290300917,-3.03015444705768,-0.00108096144141813,0,0
0.13,0.00108978906244244,5.86363275942858e-05,0.000617937868655306,-0.0515507656733671,-0.030915631073682,-0.000492920731364747,-0.00115174500768541,0.0249914404805512,0.054668872211721,-3.03016204632552,-0.00110081611441,0,0
0.14,0.00111408438987767,6.10300412517972e-05,0.000632789399802414,-0.0526452818342934,-0.0316586593929569,-0.000504986915224037,-0.00117753754408253,0.0256085487904035,0.0558390422806566,-3.03016918449124,-0.00108339611261103,0,0
