t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r,"T_ass:0.63,S_pct:-0.63,kp:0.2887,ki:0.0052"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.00098641417298864,5.21753281645942e-05,0.000559582071422429,-0.0467090400498829,-0.0280192934036706,-0.000461125955472387,0.00103610224810101,0.0209314553352792,-0.0502860756350081,0.934756928143766,-0.00167226261237126,0,0
0.02,0.00109001256225279,4.79750669910572e-05,0.00061893250157642,-0.0520983587551912,-0.0309910971730698,-0.000509197128706578,0.00114539212128141,0.023500939551207,-0.0558783762218067,0.934744658189943,-0.0017458341765711,0,0
0.03,0.00112723685190403,4.75416200060863e-05,0.00064036099309536,-0.0539808051462099,-0.0320640569573027,-0.000526398565298469,0.00118474878021473,0.0243771962565909,-0.057860032625828,0.93473240894476,-0.00170099851920607,0,0
0.04,0.00110419511020928,4.26976876042318e-05,0.000628082332958931,-0.0530706681956498,-0.031449241870962,-0.000515143918971272,0.00116118947684352,0.0240096360215892,-0.0568250650250559,0.934721314924999,-0.00155898289177752,0,0
0.05,0.00112561760880873,4.14292589994147e-05,0.000640574807007814,-0.0542048570890574,-0.0320747585639738,-0.00052494307983785,0.00118397037444513,0.0245498072448747,-0.0580022726556628,0.934710542892396,-0.0014993413292711,0,0
0.06,0.00112525025405103,3.86249375878833e-05,0.00064087316005741,-0.0543264234115966,-0.0320896810589196,-0.000524458327376241,0.00118399746805878,0.0246381447905341,-0.0580867431729472,0.934700403235721,-0.00140651432584728,0,0
0.07,0.00115598909747524,3.84699160349555e-05,0.000658832214173544,-0.055870770013526,-0.0329889496394231,-0.000538505151280557,0.001216709859399,0.0253456709420249,-0.0597278051221984,0.934691029133062,-0.00137622643161706,0,0
0.08,0.00112436910824168,3.35356671712361e-05,0.00064130804307298,-0.0545363166010213,-0.03211147586263,-0.000523469456992008,0.00118383344490464,0.0247929719616964,-0.0582294191263286,0.934682062993459,-0.00123822572938336,0,0
0.09,0.00112280111629952,3.11473595502321e-05,0.000640882174388968,-0.054577105260038,-0.0320901576524802,-0.000522451359047455,0.00118256369200244,0.0248379654147445,-0.0582367075887902,0.934673787085528,-0.00116019560704631,0,0
0.1,0.00112205875233953,2.89731287921313e-05,0.000640869364725488,-0.0546484844136679,-0.0320895128137539,-0.000521852669364649,0.00118211639774701,0.0248953157586607,-0.0582787863172489,0.934666056753243,-0.0010885997759341,0,0
