t,theta,omega,r,i_d,i_q,i_q_ref,v_d,v_q
0,0,0,0,-0.0567290214254629,-0.083120440449567,0,-0.583698140548106,0.155729302245988
0.01,0.000437267224967023,2.79751675407169e-05,0.000216783474785306,-0.0957173323019475,0.112629251949925,0.000281577464657602,-0.415790039100362,0.224304916795274
0.02,0.00059732545134746,2.82266864815028e-05,0.000284582577337308,-0.0686449209042878,-0.00708295725923286,0.000373252179927879,-0.585382557139165,-0.0600160252735304
0.03,0.000647277022236987,2.22119670070242e-05,0.000313915482678351,-0.0326049497911752,-0.0348488138008246,0.000409952982648778,-0.612303653714946,-0.126373765321998
0.04,0.000620921992152568,1.27709017760935e-05,0.000314198860601209,-0.0846880931824245,-0.0970897263438582,0.000406181775142703,0.218791986896754,-0.189950582466595
0.05,0.000608810669606485,7.51993866288103e-06,0.000322542792228863,0.0656133256535781,-0.0204216969454062,0.000412565354396957,-0.215966074789897,0.1522792292056
0.06,0.000592767772218689,3.74730802832346e-06,0.000324973641680209,-0.0240183442667375,0.0617951370676401,0.000412496966373812,-0.292322830456549,0.0587837543222864
0.07,0.000585644266002684,2.14486726690666e-06,0.000329214413849888,-0.0127815247449232,-0.0293537947932985,0.000415590000027941,0.00216579333121634,-0.0037889194281055
0.08,0.000574754030592701,5.37644552878191e-07,0.000326917387887455,-0.118988234430703,-0.0292220645039571,0.000411641975562956,0.423993373689423,0.292428853804446
0.09,0.000568782073455192,-1.8210856467249e-07,0.000326248029613884,-0.23959049933855,0.0796811134922045,0.000410059920122151,-0.416842964010321,0.0533364729793779
0.1,0.000565945897672947,-4.3812451622216e-07,0.000326052999727921,-0.0215546316642852,0.000770387376528132,0.000409429832379351,0.173431637521131,-0.382505165988843
0.11,0.00056483185906276,-4.86073815864074e-07,0.000325996192066599,0.00426964096332872,-0.146433526105293,0.000409201818175886,0.941023004698429,-0.0535447430414284
0.12,0.000564537036623733,-4.59756051895965e-07,0.000325979656713955,-0.039407319430851,-0.0536044966811887,0.000409139932448731,0.27836619606002,0.447659749465418
0.13,0.000585514894296245,1.27693965623621e-06,0.000336708717279998,-0.00127904632022536,-0.0644516402103496,0.000422976065773654,-0.000853683336362071,0.19656497473874
0.14,0.000596942694049975,-3.64354491466656e-07,0.000342843455426095,-0.0116017143481981,-0.135585490971167,0.000430800333727419,-0.0594741394852623,-0.283691644858734
0.15,0.000575974415245993,-2.88390936020733e-07,0.000330888538225942,-0.12666315808531,0.0373153792357332,0.000415755291849288,-0.0882590155781982,0.0241666227131545
0.16,0.000566720016522599,-9.64838250183675e-07,0.000327405035720961,-0.0336144519661125,0.0653883459510375,0.000410885996465785,0.069011753038334,-0.154689777318939
0.17,0.000563516245757565,-9.8491398148326e-07,0.000326390060456811,-0.128522482958182,-0.0455677481038317,0.000409388664951816,-0.0293033168305196,-0.119277099030646
0.18,0.000562988407168444,-8.08141066954704e-07,0.000326094373429664,-0.134782779016587,-0.0243302821128319,0.000409014769078799,-0.0020948412991028,-0.0872632466163509
0.19,0.000563390055765151,-6.24474864707736e-07,0.000326008254529912,-0.0331377889739101,0.00432105713860931,0.000408991396654145,-0.730221864555977,-0.0608027825519979
0.2,0.000563947917022345,-4.91191030960181e-07,0.000325983181992455,0.0179790635752865,-0.110793708997103,0.00040905252951206,-0.195413584130768,-0.0315713584713297
0.21,0.000564392099401575,-4.10593884225818e-07,0.000325975885685642,0.158405225350614,-0.0308713894281016,0.000409113759401789,-0.192033567917298,0.110617038418486
0.22,0.000564676443743239,-3.6832420846622e-07,0.000325973762906201,-0.0211668149149516,-0.0858436521992897,0.000409155487602475,-0.0597894640583959,-0.333594922966663
0.23,0.000564833138742803,-3.49267224919458e-07,0.000325973144861401,0.127917068604563,-0.0374548986600264,0.000409179034630356,0.134439065727762,0.333512810927285
0.24,0.000564907993787968,-3.42399971486884e-07,0.00032597296432357,0.0654799653815126,0.0493950060211945,0.000409190400102502,-0.192202321136836,-0.688971787229788
0.25,0.000564937621485114,-3.41035502060549e-07,0.000325972911118414,-0.0922992934448245,-0.0102100038761253,0.000409194918700007,0.241343280533887,0.0926699451446435
0.26,0.000567881832298425,2.05749017823109e-09,0.000327723038156213,-0.136361575491367,-0.0547754054092498,0.000411378040708156,-0.44147518908857,0.433340887003544
0.27,0.000562817392491269,-6.59361887755949e-07,0.000324071248778294,-0.0460681475165061,0.0229063696729874,0.000406989221958963,-0.537766630419931,-0.165442410379845
0.28,0.000561710562221257,1.53137193592556e-06,0.000323769761455389,-0.158174877987281,0.0327785452385035,0.000406520642545322,0.192762602707351,0.0221697250818746
0.29,0.000563342648670767,-5.0221404990225e-07,0.000325330911692199,-0.0291984616736898,0.137014244826686,0.000408314652234606,-0.308705173715131,0.0340333765888039
0.3,0.000552459232701051,-9.93701405604952e-07,0.000320740714957119,0.156546627128127,-0.0886688367714875,0.000402100211756919,-0.718962742607045,-0.0329756997840706
0.31,0.000561330162881683,-1.4610287735195e-07,0.000324448438828615,-0.0187930036275488,-0.073249508142803,0.000407131554490468,-0.216024508388779,0.00669876810127068
0.32,0.000564941581836454,4.40734879703086e-08,0.000325528789395111,-0.0685482675099398,-4.69772181724074e-05,0.000408756130066972,-0.374998272039406,-0.23078724814907
0.33,0.000565991466205569,-1.14187344024685e-08,0.00032584354594933,-0.0687090779756965,0.0792675462150277,0.000409229262339633,-0.11377630661182,-0.359051820696645
0.34,0.00056599595172482,-1.22606365948741e-07,0.000325935230272464,-0.0648962497886123,0.0453426601589402,0.000409320713284979,-0.026752647163215,0.0272842666355958
0.35,0.000565694728108188,-2.18286430708758e-07,0.000325961927515761,-0.0388207435281054,-0.133600064143009,0.00040930074247711,-0.701736458959681,-0.569013991577618
0.36,0.000565390418755933,-2.82150523389646e-07,0.000325969697691291,0.0223004854057134,-0.0457738456908862,0.000409261545719293,-0.435539642678105,0.483196703421812
0.37,0.00056517202369963,-3.18526531373209e-07,0.000325971958126977,0.0562869425325119,-0.0123176911819907,0.000409230124300347,-0.370533021164961,0.0861710599005647
0.38,0.000565040998279629,-3.36516109200602e-07,0.000325972615730605,-0.113682397905752,-0.0424965261334679,0.000409210577047722,0.0110978216439823,-0.133534351792157
0.39,0.000564972778908922,-3.44014551956207e-07,0.000325972807365249,0.0317669017335238,0.0658832955115304,0.000409200247818981,-0.3863361567057,0.0456822683928366
0.4,0.000564942278096864,-3.4631369771887e-07,0.00032597286353263,-0.029214736904043,-0.0546455819899367,0.000409195598874826,0.589162495479549,-0.29233290931183
0.41,0.000564931451471942,-3.4643741742002e-07,0.000325972880223891,-0.148779324091473,0.00129504361862734,0.000409193944430043,0.88427033279567,-0.235172040262015
0.42,0.000564929472411473,-3.45886917330063e-07,0.000325972885319131,-0.0689659617566294,-0.0433550820321624,0.000409193643167784,-0.00824667157168474,0.577359775457252
0.43,0.00056493063656469,-3.45291567782624e-07,0.000325972886942209,-0.0663291776557763,0.00556654873380998,0.000409193823580126,-0.120603542313521,0.469366689669353
0.44,0.000564932382794516,-3.44847506994483e-07,0.000325972887486836,-0.158296223863703,-0.0303857847890179,0.000409194093006704,-0.0552268296652129,0.134795772917203
