t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r,"T_ass:1.10,S_pct:-0.30,kp:0.4329,ki:0.0003"
0,-0.0583502636291218,0,0.00314581469890502,-0.419849067726902,-0.421737050605455,0,0,0,0,0,0,0,0
0.01,-0.0345692411068822,4.18247400375549e-05,-0.106242201690026,0.0229704988057689,0.000584731658368955,0.000638813624875039,0.000129701656486423,-0.0303735972860339,-0.00509611385731753,-0.85177003227161,-0.000918590562764841,0,0
0.02,-0.0657921359378975,4.40585790784098e-05,0.0513249215635371,-0.107938987763986,-0.196494084155043,0.000736894000700417,0.000150258932636068,-0.0351942902520048,-0.00604845715550874,-0.851777190574576,-0.00103258647199265,0,0
0.03,-0.020256946180036,4.5746081013931e-05,-0.0187691190703528,0.0513683664936562,-0.422927269910601,0.000774757033559938,0.000158068563698175,-0.0370240526865547,-0.0063824465649856,-0.851784738913725,-0.00105582393029216,0,0
0.04,-0.0493074760790863,4.29123138019349e-05,-0.0710732570626025,0.471003742299191,-0.291408761150237,0.000757825967900764,0.000154519494256555,-0.0362836482208461,-0.00629839455834749,-0.851791987850688,-0.000999559765967878,0,0
0.05,-0.0210388029987155,4.30771833634935e-05,-0.0568593772882434,0.328584370064932,0.133916200683649,0.000776701632782657,0.000158249086785276,-0.0372211465697812,-0.00647887616609117,-0.851799161230456,-0.000996260567138924,0,0
0.06,0.0919858306760427,4.18561321566813e-05,-0.0820320166968517,0.350804754652536,-0.546022749526275,0.000778603352626594,0.000158532337464944,-0.0373619189038918,-0.00653299006414205,-0.85180618972503,-0.000968637426597717,0,0
0.07,-0.0645458914859372,4.1900133510353e-05,-0.0397127632859707,-0.219931790136948,-0.210544076068799,0.000795071831145514,0.00016168589622473,-0.0381835946936297,-0.00668870813892289,-0.851812927584372,-0.000963582858217146,0,0
0.08,-0.0674095668731343,3.93619993701577e-05,-0.173330932001264,-0.929777580935099,-0.805308959962924,0.000780290730630825,0.000158641030534014,-0.0375396168245316,-0.00662010189084903,-0.851819601578212,-0.000913031512397514,0,0
0.09,0.126361514404819,3.79541233996861e-05,-0.0366044193800852,0.00518224797293971,0.107065071737108,0.000778505502756332,0.000158140989602781,-0.0375030653635817,-0.00664128003903182,-0.851826002987475,-0.000882655269196661,0,0
0.1,-0.0921348200124843,3.6707438994199e-05,-0.0527316736811612,-0.161442413384803,-0.192379191412494,0.000778155152280909,0.000157945815255859,-0.0375322030026661,-0.00667238939462189,-0.851832195499386,-0.000855303238008061,0,0
0.11,-0.054690237029063,3.55130650859792e-05,-0.0691788300114966,-0.153158848127249,-0.485486240408701,0.000777967437141655,0.000157790646059571,-0.0375675226464218,-0.0067037694188948,-0.851838191830221,-0.000829043995453062,0,0
0.12,-0.0593974765131666,3.4357828553766e-05,0.148161982422659,0.0236290470573476,-0.470047807879976,0.000777802364598879,0.000157644365132587,-0.0376025085599496,-0.0067343117880466,-0.851843998851599,-0.000803638938516914,0,0
0.13,0.0712281604233689,3.60483682015911e-05,0.0697663582773459,0.352974910699279,0.248487179417507,0.000811756033355834,0.000164403946770978,-0.0392367143726628,-0.00701582731294716,-0.85184978381136,-0.000828455959538082,0,0
0.14,0.0382627125436485,3.2144245778909e-05,0.0766410861970643,-0.370994136626538,-0.128209194755877,0.000835792534051012,0.000169035375725728,-0.0405854661219905,-0.00737534661478381,-0.851855432376407,-0.000839159141684119,0,0
0.15,-0.0243373870047648,3.15264442178886e-05,-0.131601837609544,0.110169031525568,-0.68269562906163,0.000783741934060308,0.000158594429607431,-0.0380054202996067,-0.00687440108649693,-0.851860943541667,-0.000739026229071782,0,0
0.16,-0.0291432690696247,3.00295996567002e-05,0.241451467157662,-0.146655398332457,0.152118850360857,0.00077788899243288,0.000157251805387367,-0.0377688409424468,-0.0068564907966391,-0.851866060177939,-0.00070819220336279,0,0
0.17,-0.0426681658527104,2.89955969492439e-05,-0.0158845978533003,0.421949883122369,-0.487547685401724,0.000777122308405637,0.000156985599552678,-0.0377692169024998,-0.00687707884748818,-0.85187099082305,-0.000685684278913765,0,0
0.18,0.0072064781953131,2.80404310615268e-05,-0.155414179037974,-0.484751079165559,0.146167648721448,0.000776919389426199,0.000156849328523446,-0.037794814544462,-0.00690157664064798,-0.851875763146567,-0.000664704116774255,0,0
0.19,0.0516343192398539,2.71205481112702e-05,0.0163564498155573,-0.0938264160105385,0.179204316820438,0.000776782082764197,0.000156731403676237,-0.0378223818811471,-0.00692582206510513,-0.851880384568274,-0.00064447690367886,0,0
0.2,0.0377964171356448,2.62302601186093e-05,0.0821794286791653,-0.204455013427123,-0.991831431826416,0.000776655488896734,0.000156618716933576,-0.0378493865935928,-0.00694934851780465,-0.851884860119508,-0.000624898098259244,0,0
0.21,0.00645378238492477,2.53681300819153e-05,-0.0783616047937424,-0.415109816128651,-0.190440628677005,0.000776533820187135,0.000156509964147686,-0.0378755719475688,-0.00697216227016588,-0.85188919443351,-0.000605938258043942,0,0
0.22,0.000419336985447714,2.45332139456877e-05,0.00388272055567462,0.0766238996342247,-0.0835695948268206,0.00077641607727138,0.000156404673530736,-0.0379009336470941,-0.00699425888348916,-0.851893391970497,-0.000587576852100866,0,0
0.23,-0.012150214797674,2.37246458709706e-05,0.0836042349429498,0.205700539622465,0.329577945846159,0.000776301921889797,0.000156302590224483,-0.0379254981207061,-0.00701564149720851,-0.851897457047141,-0.000569794884841818,0,0
0.24,-0.0401406360530149,2.29415945796063e-05,0.0586183493698112,-0.206731881606164,-0.866430206984595,0.000776191546804065,0.000156203885204616,-0.0379492846769202,-0.00703637040420597,-0.851901393843474,-0.000552574058778367,0,0
0.25,-0.086551772881982,2.21832524402998e-05,0.157037748371214,0.318247045827737,-0.294298485704627,0.000776084493771126,0.000156108155624384,-0.0379723222410138,-0.00705642723670361,-0.851905206407568,-0.000535896664798653,0,0
0.26,-0.000311937720101939,2.20472957153106e-05,-0.145117032315454,-0.178001824296228,-0.68081345974757,0.000783096053230855,0.000157445512938558,-0.0383279500427603,-0.00712752485589086,-0.851908865417012,-0.000530331818869485,0,0
0.27,0.0604100635670067,1.97440385818481e-05,-0.0374559701007979,0.039645926878769,0.772716243104764,0.000764032806797907,0.000153602315280837,-0.0374611032282909,-0.00701143690348927,-0.85191253294905,-0.00048652571111145,0,0
0.28,-0.0613896532112762,2.36017876886763e-05,-0.162611239771355,-0.470651450937965,0.0686166196788266,0.000763537031898075,0.000153443120421136,-0.037291020912891,-0.00687634721442199,-0.851915996734409,-0.000470797437782299,0,0
0.29,0.0725323836927942,1.92678398889257e-05,0.0846411217882111,0.0659315890361858,-0.683799869921573,0.000774341974758147,0.000155472029646334,-0.0379943395632628,-0.00712018318909259,-0.851919296539748,-0.000472271918381593,0,0
0.3,-0.0111363987946662,1.80538245331263e-05,0.00755061767636932,-0.364863425176722,-0.781911943284834,0.0007668060516868,0.000153817911422093,-0.0376630302910288,-0.00707749195321506,-0.851922257134498,-0.000448293162197461,0,0
0.31,0.00376597706913227,1.80898477992741e-05,-0.204733847598742,-0.423412725003717,-0.491216402250588,0.000774550247514989,0.000155383626015514,-0.0380488421009451,-0.0071543548131235,-0.851925373545817,-0.000446231773526199,0,0
0.32,-0.0281134188318583,1.75557761394884e-05,-0.0919973804705371,0.402566108570856,0.25863698135842,0.000775326287843281,0.00015549995615816,-0.0381076382498349,-0.00717763424541737,-0.851928425190422,-0.000434169284571874,0,0
0.33,-0.0222367584364462,1.69753056979971e-05,-0.0273218014560569,-0.13657014917098,0.479784906898022,0.000775338178348504,0.000155448336114318,-0.0381299567656655,-0.00719407395361271,-0.851931384268203,-0.000421368332480396,0,0
0.34,-0.182973490059228,1.64061202667654e-05,0.18645472109631,0.0912811824545389,0.170127383956677,0.000775268094824324,0.000155378965160746,-0.0381477646701903,-0.00720924762067243,-0.851934250382303,-0.000408846917010901,0,0
0.35,-0.05248664193035,1.58541115524713e-05,-0.0766595659954465,-0.0212883055607735,-0.0569168379811967,0.000775191421131774,0.000155309685791451,-0.0381645889743467,-0.00722387613874187,-0.851937026097494,-0.000396706803348658,0,0
0.36,0.00319591699570476,1.53194396261824e-05,0.0330961589914197,-0.0958449589151653,0.896867115880055,0.000775116050459669,0.000155242220008368,-0.0381808396705201,-0.00723801566565798,-0.851939714225465,-0.000384948253443767,0,0
0.37,0.034032230513115,1.4801627912675e-05,-0.0613577072483532,-0.201634370662005,-0.192700181289971,0.000775042970307631,0.000155176872045787,-0.0381965727850911,-0.00725170978041821,-0.851942317525554,-0.00037356059327673,0,0
