t,theta,omega,r,i_d,i_q,i_q_ref,v_d,v_q
0,0,0,0,0.0627237072190989,0.00476193352259987,0,0.0363242199417742,-0.234487522807797
0.01,0.00147070223827565,0.000222342976485379,0.000825928491611061,-0.150629652863303,-0.0619946428076122,0.00156742392478845,0.977299447698982,-0.0800381432215578
0.02,0.00162324250234303,0.000192057705135085,0.0009145427854651,-0.163751557177459,0.00774193462043753,0.00173037677230384,-0.458177591372068,-0.141870344892995
0.03,0.00167277922561157,0.000180825620191172,0.000944011253424657,0.0252741893201934,-0.041952267974714,0.00178337899275729,0.130858007948767,0.566732046290103
0.04,0.00163825086928355,0.000152893568156287,0.000927338223609399,-0.0136991489205834,-0.0308100925289009,0.00174693210000147,-0.412172765607392,-0.675432800444711
0.05,0.00166587214558428,0.000141202137456276,0.000944218857947536,-0.122501413287624,-0.0600560555432365,0.00177654239940782,0.277125636334116,0.487419756831667
0.06,0.0016633128786485,0.000124245110782795,0.000944505649606244,-0.115559130808204,-0.0638008744290676,0.00177403601265334,-0.310296728632532,-0.0680198614181864
0.07,0.00170810677392636,0.000120674711070023,0.000971155523705635,-0.0273662276434823,-0.130184440771323,0.00182196587051556,-0.83338278923382,0.0152946491866847
0.08,0.00165895410209298,9.58603486651555e-05,0.000944962792065386,-0.0443088964627512,0.0212109870328978,0.00176976334776281,-0.157581540546732,0.0836761796820881
0.09,0.00165583745831533,8.37553743622266e-05,0.000944503709327307,0.13273106658129,-0.123398900068664,0.00176660784182359,0.0856182836792003,0.133064123121953
0.1,0.00165386915136365,7.32270709704608e-05,0.000944491873653967,-0.104840197483308,-0.0265734120772474,0.00176465052754435,0.0212522117774605,0.0577775271183738
0.11,0.00165214147516725,6.39056161162443e-05,0.000944488242325142,-0.205636916479397,-0.0982814569034061,0.00176293335575518,0.155023564439742,0.19023618611431
0.12,0.00165061137033471,5.56493905605748e-05,0.000944485143437693,-0.0408118323278742,-0.00279561803223087,0.0017614125669326,-0.0142520622198351,0.128530874203761
0.13,0.00172979715838692,6.68131106067449e-05,0.000989556486926065,-0.0143369396120853,0.0352809121081093,0.00184587819116722,0.433302581153343,-0.0777416917486754
0.14,0.00183688952969332,3.95730894524604e-05,0.00105259087581332,-0.057574268121827,-0.0197955281198134,0.00196038864311815,0.0087729118771135,-0.599819281403726
0.15,0.00165030747447564,3.49081346939784e-05,0.000946353908917627,-0.159438220967385,0.0283456761167174,0.00176134947291081,-0.852965632742068,0.199540460152483
0.16,0.00164577540657901,2.91808446490904e-05,0.00094450778429757,-0.0813265283336087,-0.0230222636834919,0.00175661015737216,0.232038492727325,0.32452171601225
0.17,0.00164490971145825,2.4877228497644e-05,0.000944474155459942,-0.243369244090722,-0.0315013331045665,0.00175574567417222,0.0069172614366415,-0.181976322858879
0.18,0.00164420433642314,2.10804591915803e-05,0.000944472172855186,-0.146046950430713,-0.0368603591630004,0.0017550445202065,-0.416965965166448,0.288074618449167
0.19,0.001643581252476,1.77178480953444e-05,0.000944470899245027,-0.258967629635141,-0.092722958580154,0.00175442522371175,0.405110407749991,-0.980615574841192
0.2,0.00164302908003041,1.47394912346499e-05,0.000944469779353894,-0.03802231118491,-0.0414704790556695,0.00175387640925922,-0.458722980310994,-0.341422273451218
0.21,0.00164254057219598,1.21014772958006e-05,0.000944468787423793,-0.0215242729992768,0.0389205945688662,0.00175339087043155,-0.261646376537059,0.20468379074684
0.22,0.00164210725979263,9.76491810433799e-06,0.000944467908722511,0.0193613138234033,-0.0696412526540912,0.00175296019310662,0.0376589164156265,-0.367741660135778
0.23,0.0016417237731498,7.6953629104537e-06,0.000944467130335096,-0.130570955618304,-0.0471392259190842,0.00175257903751638,0.375735990682474,0.194338725146706
0.24,0.00164138417508288,5.86230453336611e-06,0.000944466440819023,-0.143897204264039,0.00992002333302358,0.00175224150340811,0.0762214516164622,-0.668470333725143
0.25,0.00164108322689906,4.23871779275942e-06,0.000944465830034812,-0.0197112789101669,0.0180311913461697,0.00175194238461561,0.114247610112673,-0.0365569885262288
0.26,0.00165709317433898,6.74884313411894e-06,0.000953432265913577,-0.204044631273574,-0.169357535745573,0.00176900033592569,0.317617942087085,0.174154623004326
0.27,0.00159563377948248,-9.44868133956334e-06,0.000918895279353354,0.0326581312972744,-0.0437468752546022,0.00170349921672032,0.0891556810477283,-0.258753676322005
0.28,0.00158114176878263,2.84941161226016e-05,0.000909956340511941,-0.0905274491324019,0.0162292914337034,0.00168794825113237,0.113892269123091,0.10082486460864
0.29,0.00163902889817432,-8.66753680384136e-07,0.0009438649318746,-0.144629326966088,-0.0107303618763916,0.00174982422647303,0.028861472124074,0.0562721845609801
0.3,0.00163362240763422,-1.92040079127764e-06,0.000941059413151246,0.0854794020323968,-0.0411614996739451,0.0017440932601785,0.399851823939127,-0.245682211538097
0.31,0.00163994116000781,-1.25418478091888e-06,0.000944404667174699,-0.113935336246832,0.00210554362025611,0.00175079977219,-0.324761215584289,-0.0930015822476519
0.32,0.00163991763290978,-2.0371335267555e-06,0.000944462442776977,-0.100293652417128,-0.0875040092363701,0.00175078374575394,0.133567152766353,-0.0774975280828532
0.33,0.00163978631648485,-2.75750358014193e-06,0.000944463179760057,-0.0850489671040642,-0.115632580621594,0.00175065335477649,-0.0984545820075518,-0.209612691675358
0.34,0.00163966803852147,-3.3960736800509e-06,0.000944462956903874,-0.15403990674038,-0.034656694619133,0.00175053579765803,-0.909290831238244,-0.0970027370496126
0.35,0.00163956303189796,-3.96167297367356e-06,0.00094446274430433,-0.0628411319147749,-0.0054363262548755,0.00175043142963994,0.903249212135773,0.355985561976539
0.36,0.00163947058355701,-4.46263038611505e-06,0.000944462555728946,-0.0355941482235531,-0.0695415090193939,0.00175033954193695,-0.278553955952898,0.0673974997911582
0.37,0.0016393881615093,-4.90633237859583e-06,0.00094446238869283,-0.0916303313861899,-0.0204805965730216,0.00175025762121448,0.443890833849254,-0.0123013388306463
0.38,0.00163931528551796,-5.29932003701106e-06,0.000944462240740384,-0.14112959384414,-0.0358789145222688,0.00175018518812567,-0.0093654408732137,-0.380437715343895
0.39,0.00163925055859914,-5.64739093533717e-06,0.000944462109691286,0.0651566564184364,-0.140712021194175,0.00175012085507357,0.0566498316450111,0.195291431640743
0.4,0.0016391932822609,-5.95567507843953e-06,0.000944461993615556,0.013955156215275,-0.0431790881211127,0.00175006392711116,0.273427500553956,-0.140158080448968
0.41,0.00163914320909665,-6.22871948507964e-06,0.000944461890800947,-0.17831217240109,-0.138645875871077,0.00175001415668515,0.18985736781401,0.0939199851226945
0.42,0.00163909827278251,-6.47055276203901e-06,0.000944461799733987,-0.0601535404153523,-0.14773295007197,0.00174996949369067,0.385754220973841,-0.171091216190043
0.43,0.00163905845874251,-6.68473876430653e-06,0.000944461719072267,-0.00639362208616785,0.059997476744111,0.00174992992184773,0.750407047559672,-0.22546114774499
0.44,0.00163902330131538,-6.87443753122352e-06,0.000944461647626413,-0.141676861641901,-0.0937321018268947,0.00174989497799272,0.378184519901073,-0.508178831734206
0.45,0.00163899210200919,-7.04244848748203e-06,0.000944461584344121,-0.143288186768835,-0.12835487861401,0.00174986396837755,0.219755432536263,-0.182207706300209
