t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r,"T_ass:0.73,S_pct:6.82,kp:0.0256,ki:9.2622"
0,0.0515671542413018,0,-0.127043737191533,-0.366061224153268,0.310716683017157,0,0,0,0,0,0,0,0
0.01,-0.000959762613784329,1.98103462025756e-05,0.0745466702023323,0.0252682563433703,0.273816232036349,0.000547083327344328,-0.000256614522262118,-0.0263642492621808,0.0129078307500661,-1.50442389137356,-0.00243436808690903,0,0
0.02,-0.0811381724844761,4.37958624388557e-05,0.101095687446397,-0.232593084710637,-0.0893566489228431,0.000636880035901505,-0.000296940764105863,-0.0296571321217223,0.0150054546628191,-1.50444220833419,-0.00254370960747168,0,0
0.03,0.01366442552924,6.71725574648008e-05,0.129676026712922,-0.250959167764158,-0.432819477753407,0.000668721932618082,-0.000312713196049091,-0.0300825856550509,0.0158722307245678,-1.50445997124828,-0.00238020351176029,0,0
0.04,0.0253889006689139,8.69568320922554e-05,0.0139377280459984,-0.386226089374173,0.358966081345903,0.000651111888487895,-0.000306275202510525,-0.0282145672618773,0.0156155675641065,-1.50447531048331,-0.00201923311319975,0,0
0.05,-0.00842085861833657,0.000104956190625671,-0.0189199991472075,0.0752149473407499,-0.0495398101374529,0.000664536148210329,-0.000314188867067929,-0.0279870045007033,0.0160712204135223,-1.50448905263405,-0.00183788974803479,0,0
0.06,-0.0623259094610574,0.000120808130304795,0.0744594168082226,-0.280874764831424,-0.572070964324087,0.000663764598677566,-0.000315260718045984,-0.0271566344286576,0.0161773495639727,-1.50450123004468,-0.00161557800359152,0,0
0.07,0.057403576787193,0.000134546993649565,-0.00916494458346478,0.0503556426835709,-0.488621347866351,0.000674848296821353,-0.000322072206063805,-0.027024239393181,0.0165637345944082,-1.50451163713024,-0.00148257895437775,0,0
0.08,0.0364788575550573,0.000146736012538895,-0.0953836747469139,0.660419868735609,0.146808162587887,0.000660985018218317,-0.000316441490462753,-0.0257217454037242,0.0163223222576734,-1.50452107854586,-0.00124577099259199,0,0
0.09,0.0352167803795095,0.000157187721924856,-0.0103159184865669,0.0393997710536227,0.170738716197282,0.000657486372751466,-0.000315921153631631,-0.0250239921707692,0.0163309144181773,-1.50452912280503,-0.00108431729842137,0,0
0.1,-0.118759424028792,0.000166253274073824,-0.186501412426779,-0.0447848026182708,-0.711961647686573,0.000655574152473295,-0.000315963966839435,-0.0244745957763755,0.0163630980383076,-1.50453609237252,-0.000949886939624759,0,0
0.11,-0.00464865389704378,0.00017413058958482,0.0393489151952325,-0.611850444549976,-0.364858128401077,0.000654061121325672,-0.000316057023051783,-0.024004341483704,0.0163938932103781,-1.50454214647841,-0.000833839722521505,0,0
0.12,0.00176532961342144,0.00018097746942658,0.108360380927274,0.167707733730841,-0.458255866179841,0.000652765982589556,-0.000316144150359515,-0.023596303533127,0.0164209830653669,-1.50454740745241,-0.000733091810791377,0,0
0.13,0.0237438776403226,0.000187771744094789,0.00563939879876469,-0.0841113013951621,0.350345358882769,0.000680610604216682,-0.00032990183110537,-0.0246477165248647,0.0171320196258526,-1.50455241389044,-0.000778648175034493,0,0
0.14,-0.00821631025071291,0.000193229570868425,0.15212311115656,-0.531206616900689,-0.608211918463196,0.000698874261056654,-0.00033957235783998,-0.025286717269223,0.0176341239605954,-1.5045569005713,-0.000786773300709825,0,0
0.15,-0.0970288561773655,0.000198597757844254,-0.0100417506219637,0.177175201939211,-0.604398020089318,0.000655846259834744,-0.000319000676870531,-0.0228657286246878,0.0166224718539387,-1.50456090534725,-0.000505876420104583,0,0
0.16,-0.009539997117502,0.000202325565624051,0.0147167493905904,0.236329311291032,-0.399582633292919,0.00064958589614133,-0.000316714670846352,-0.0223647911928717,0.0165204996183662,-1.50456379951644,-0.000423376048150009,0,0
0.17,-0.0162845553636522,0.000205497621209361,-0.159922208798454,0.38752997312946,0.690457700773666,0.000648254377878692,-0.000316492309220262,-0.0221379662324131,0.0165199808804818,-1.50456623695737,-0.000373114369529877,0,0
0.18,-0.026774312224315,0.000208246565307491,0.00629180885079253,-0.0660290487926334,0.249931689837222,0.000647639954378257,-0.000316498029037257,-0.021968068030572,0.0165294793287686,-1.50456834491448,-0.000332277329720827,0,0
0.19,-0.00602439976220525,0.000210635713301599,0.00519004496945099,0.0748901102175558,0.0641176238101033,0.000647177857808148,-0.000316525335853948,-0.0218237049970862,0.0165388549052825,-1.50457017547673,-0.000297164801973199,0,0
0.2,-0.0426203522671624,0.000212713246583007,0.00228846569201025,-0.198007954781592,0.362358633250955,0.000646785665876284,-0.000316551569102778,-0.0216983584304781,0.0165471623481958,-1.50457176615413,-0.000266700109706873,0,0
0.21,0.0120183514578361,0.000214520070585422,-0.138222368941916,0.527559729387355,0.0716513468474916,0.000646445903920558,-0.000316574655568942,-0.0215891172257784,0.016554432234868,-1.50457314851568,-0.000240231258874911,0,0
0.22,0.114740068733647,0.000216091691982001,-0.0608941542890458,0.382974886831569,0.829269381163136,0.000646150980947496,-0.000316594736618264,-0.0214938315890379,0.0165607619738711,-1.50457434986032,-0.000217229258970431,0,0
0.23,0.0375420643654018,0.000217458888073452,-0.0460356687896918,0.113948384440572,-0.0229106368514358,0.000645894675202598,-0.000316612192423293,-0.021410658276078,0.0165662834875207,-1.50457539389409,-0.000197239379063107,0,0
0.24,-0.0333161154659724,0.000218648434383795,-0.052009479145455,-0.197476744146752,-0.0759962328686513,0.000645671872000679,-0.000316627366497772,-0.0213380091551702,0.0165711204098857,-1.50457630121649,-0.000179867095037458,0,0
