t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,r
0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.00107383134285408,0.000363613201639987,-0.0493508969370431,-0.0181917559496029,0.000992591970324141,-0.000547804247656694,-0.0453553961243812,0.0266334198972086,-1.74859683139597,-0.0103511052216261,0
0.02,0.000688911219284464,0.000435978068116109,-0.0368359364388265,-0.0218122077396874,0.000600958996697178,-0.000550929966713541,-0.0323983022115878,0.0279822914288871,-1.74856462615767,0.00571734593524975,0
0.03,0.000832373869417365,0.000463785545466646,-0.040904513374735,-0.0232034171383814,0.000737241396109977,-0.000603670783237389,-0.0361566446176168,0.0300711627862471,-1.74856810246558,-0.0047148747569554,0
0.04,0.000772089516867876,0.000455585709363954,-0.0391788875080661,-0.0227931748138249,0.000679358079659903,-0.000584938595268543,-0.0345308070509609,0.029362176500944,-1.74856651052276,-0.000399496681319569,0
0.05,0.000826774050741809,0.000467018256875864,-0.0412881055433723,-0.0233651649606565,0.000731155608107587,-0.00060586538106102,-0.0365054604900654,0.0302983489221379,-1.74857232592769,-0.00203611008138225,0
0.06,0.00081206598228908,0.000468903837541263,-0.0409096897870233,-0.0234595010288411,0.000716345925888253,-0.000605120221869467,-0.0361163276300519,0.0303242771638736,-1.74857228188348,-0.000803812207277584,0
0.07,0.000845077341810761,0.000477317887763769,-0.0416701083704296,-0.0238804532493116,0.000747349432620949,-0.000619238972596487,-0.0367903386240812,0.0308730458964019,-1.74857167741919,-0.00393612485811722,0
0.08,0.00081339538918138,0.000470602064970577,-0.0411391897606024,-0.0235444645046821,0.000717353102390851,-0.000607027914668115,-0.0363271372759768,0.0304485441409507,-1.74857386650307,-9.15031324716808e-05,0
0.09,0.000808524544449395,0.000469495403888486,-0.0405926998781022,-0.0234890938979549,0.000712756788554908,-0.000605074899180596,-0.0357991554399842,0.0302972818141243,-1.74857046620912,-0.00144771862546885,0
0.1,0.000816779189511478,0.000469312377374957,-0.0410232318807706,-0.0234799408302946,0.000720912625043257,-0.000606355785846562,-0.0362244667104003,0.0303644724453547,-1.7485722466396,-0.00122441835216615,0
0.11,0.000812384509891062,0.000469282359510182,-0.0408416978371384,-0.0234784321810508,0.000716592857342324,-0.000605548678195526,-0.0360460776118154,0.0303308646217561,-1.7485716836824,-0.00114270130981226,0
0.12,0.0008137967439605,0.000469277387347024,-0.0408851273361923,-0.0234781835121225,0.000717983675387509,-0.00060579356932292,-0.0360888647215523,0.0303383022174125,-1.7485717461424,-0.00123069184577866,0
0.13,0.000876088961428985,0.00048820696688248,-0.0433579719246172,-0.0244252332876038,0.000775942051047683,-0.000635446177316556,-0.0383550312840516,0.0317080009740315,-1.74857893895728,-0.00279876946854287,0
0.14,0.000848170428942397,0.00049999412778637,-0.04317384486667,-0.0250149520549212,0.000746382983984121,-0.000642105634278459,-0.0380697145499602,0.0322556280510215,-1.74857278527156,-0.00362280562837322,0
