t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,r
0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.00106084907486294,0.000547364177106584,-0.0495087418251563,-0.0274032346545742,-0.000776712114951744,0.00090649136372296,0.035548719760899,-0.0440265977564098,1.18478812965843,-0.0123475672073782,0
0.02,0.0011302787209158,0.000606295100354529,-0.0545174874878987,-0.0303535555840128,-0.000818774176925538,0.000987285461692247,0.0390746042263412,-0.0486484335116737,1.1847153991619,-0.00836715081288334,0
0.03,0.0011415259578484,0.000629041638419596,-0.0558374750487666,-0.0314923400228035,-0.000820581584148452,0.00101263061333525,0.0398663037973099,-0.0502022800425847,1.18466948850144,-0.0052953737461805,0
0.04,0.0010905664331034,0.000615991167079444,-0.0539975323848293,-0.03083899857025,-0.000778267624378132,0.00098136627605425,0.0384068217095541,-0.0489049423129922,1.18464788802751,-0.00288474398504761,0
0.05,0.0011080353128611,0.000629371183871773,-0.0550249740050318,-0.0315088359555703,-0.000789396384924576,0.00100035178267616,0.0391056044508075,-0.0499129863669411,1.18463329390776,-0.00214671960403437,0
0.06,0.00110181957367048,0.000629838800212765,-0.0549071877075037,-0.0315322560577689,-0.000783453706816719,0.00099845058788705,0.0389872443115582,-0.0498906525817274,1.18462474252067,-0.00143193741711682,0
0.07,0.00113118688589005,0.000647042908768795,-0.0562619905329178,-0.0323935762404651,-0.000804174514025499,0.00102545192358758,0.0399176653203685,-0.051198978073239,1.18462084654325,-0.00165889273419044,0
0.08,0.00109684285656506,0.000630457597855503,-0.0548247456494562,-0.0315632307895052,-0.000778602916883705,0.000997155219868862,0.0388988316485748,-0.0498885875704551,1.18461721871201,-0.00081148628805708,0
0.09,0.00109377654868062,0.000629874248247523,-0.0547094019352322,-0.0315340444848348,-0.000775981105645591,0.00099546071280092,0.0388029233839194,-0.0498181468798671,1.18461617264948,-0.000684478707564635,0
0.1,0.00109316147645308,0.000629853584037884,-0.0546913236625989,-0.0315329906441556,-0.000775418623836741,0.000995210283675556,0.0387865488973073,-0.0498103805202123,1.18461568022151,-0.000638901296691268,0
0.11,0.00109290443136493,0.000629852775741119,-0.0546846255026536,-0.031532953882023,-0.000775180559770149,0.000995112915683608,0.0387803451772574,-0.049807833468482,1.18461542530597,-0.000616361306349909,0
0.12,0.00109277381337423,0.000629852704365965,-0.0546812724037838,-0.0315329544655766,-0.000775059455101762,0.00099506375547044,0.0387772321419926,-0.0498065762367877,1.18461529162983,-0.000604612493997863,0
