t,iq,id,vq,vd,omega,r
0.0,0.0,0.0,0.0,0.0,0.0,2223.3542304470825
0.01,0.0,0.0,578.0720999162414,0.0,22.09385543873452,2223.3542304470825
0.02,11.548925528285418,-0.15591640840347165,987.573712727802,0.04053826618490263,38.28492067838218,2223.3542304470825
0.03,11.802200633960414,-6.203695509413893,1290.7743632957756,0.1999179060241737,40.18453677259964,2223.3542304470825
0.04,12.04555382124952,-5.716853235579761,1517.9216981227012,-2.1479339899736067,43.95536066304947,2223.3542304470825
0.05,12.283481144354722,-5.185929883257172,1687.4073655325594,-3.7498891965369947,49.71815359796141,2223.3542304470825
0.06,12.520279624932826,-4.584798347939598,1813.1445662279248,-4.783786555725326,57.67590311404546,2223.3542304470825
0.07,12.755158008401558,-3.8837767647596984,1905.5194584980666,-5.374784950199627,68.11212895300653,2223.3542304470825
0.08,12.980099258760571,-3.0487376093230747,1972.2515775665265,-5.6075207607291375,81.38556145304202,2223.3542304470825
0.09,13.176240341496552,-2.040702879131727,2019.0401541574593,-5.53478776365968,97.91496626767783,2223.3542304470825
0.1,13.30829663763396,-0.8167119336206028,2050.0519870973276,-5.183574476273757,118.24306957156398,2223.3542304470825
0.11,13.316653284365234,0.6667256420615075,2068.2692306038575,-4.559223803649876,143.9570037754879,2223.3542304470825
0.12,13.10603574631185,2.4514495291916045,2075.5096794881742,-3.6500920886697052,176.42173054596057,2223.3542304470825
0.13,12.526672828181301,4.567301789183853,2072.77848419363,-2.429683318883202,216.95293944323177,2223.3542304470825
0.14,11.354235566647194,6.989929361221156,2060.4680429850746,-0.8535900316777513,222.52318510127907,2223.3542304470825
0.15,12.867660920057425,-3.4930044695368814,2049.3093861436078,-3.464967124461729,233.4139551877293,2223.3542304470825
0.16,13.328213696183273,-0.3694556084976305,2038.7421383219069,-4.6333996115544105,254.76528393686388,2223.3542304470825
0.17,12.995940783469122,2.9804866935354286,2025.7415928324633,-4.475344170168573,289.4591851788333,2223.3542304470825
0.18,11.657210177459,6.472034352220643,2007.329666160767,-3.221140176147186,337.1895645021518,2223.3542304470825
0.19,8.99485518864215,9.842274021441138,1981.3333481727777,-1.026905422830493,353.05949998462677,2223.3542304470825
0.2,13.195863253391632,1.9097043686304254,1957.886670653115,-2.889461114355851,383.8490853837824,2223.3542304470825
0.21,11.531324962722678,6.69375248884111,1933.0347254959306,-2.7425518180010173,403.32219901699284,2223.3542304470825
0.22,13.25160314855816,-1.4740392704745435,1908.1902494416938,-2.80378366164947,420.22707541863304,2223.3542304470825
0.23,12.665955719604161,4.165494386841059,1886.54575650789,-4.085030241805248,459.69607623728456,2223.3542304470825
0.24,9.534162062174609,9.320811743081615,1860.6765167779736,-2.94623215858211,472.6128356460222,2223.3542304470825
0.25,13.028952252793122,2.8326985318269893,1837.4748671952464,-5.010820026640923,507.2958697029784,2223.3542304470825
0.26,9.998364142418746,8.821025578319839,1812.1219964390662,-4.323635565929387,517.9462869141717,2223.3542304470825
0.27,13.035688957623929,2.8015337188510387,1789.6307321385377,-6.43190991824239,552.5893239253442,2223.3542304470825
0.28,9.591958588509973,9.261323243148762,1765.025706395364,-5.522940913401336,565.1237771356215,2223.3542304470825
0.29,12.719661475828271,3.9984984329255253,1742.680268491744,-7.294932958054302,603.9083508063545,2223.3542304470825
0.3,8.161642247566435,10.543499115593287,1717.1207920581708,-5.773425444510411,623.4884883267124,2223.3542304470825
0.31,11.668960854148965,6.4508240064442015,1692.5859703205133,-6.979712313020094,667.9085054431645,2223.3542304470825
0.32,5.117237767389791,12.312256308645352,1663.6442931217098,-4.500968231081899,700.2594862207284,2223.3542304470825
0.33,8.878061554631035,9.947753555952222,1633.8590798384969,-4.804337384437776,716.5389291939808,2223.3542304470825
0.34,11.475402554077165,6.789176238665263,1606.8729395543164,-6.897811363639579,719.0473015999336,2223.3542304470825
0.35000000000000003,12.957100592319625,3.145047220359045,1584.9226382369984,-9.848937399566525,754.6004241295589,2223.3542304470825
0.36,7.147762394480087,11.255543990844425,1561.5703121705837,-8.394665682875427,779.2084303007842,2223.3542304470825
0.37,9.689082661315753,9.159664565908958,1537.5133011708374,-8.902379700432032,791.6646451984027,2223.3542304470825
0.38,11.50245057514391,6.7432491088605975,1515.7052898393251,-10.625128562636071,796.5366185807758,2223.3542304470825
0.39,12.683081456999728,4.113055133703826,1497.2030457663784,-12.374148766012373,833.5769140840149,2223.3542304470825
