t,theta,omega,r,i_d,i_q,i_q_ref,v_d,v_q
0,0,0,128.854042450877,-3.45548249363245e-24,0,0,0,0
0.01,0.0619897549917829,121.864277491515,128.854042450877,0.148804378870746,7.52785966028881,10,-1.02980345734763,18.7196563428667
0.02,0.196506814875053,128.231438907436,128.854042450877,0.00299515774542763,0.747896043126088,0.635671377182007,-0.176356047146672,3.27168532330559
0.03,0.330811889562635,128.276692195829,128.854042450877,0.00703201129887254,0.875355850335472,0.769185900688171,-0.19240881098462,3.24494877469306
0.04,0.465095091514319,128.297827239605,128.854042450877,-0.0182105331506483,0.928409017527998,0.864264249801636,-0.0193906570411352,3.47413656334938
0.05,0.599389799885028,128.216218025939,128.854042450877,0.00721256166346518,0.851329737137947,0.779977023601532,-0.138133206732049,3.3959554287009
0.06,0.733677901177268,128.247893218179,128.854042450877,0.000794543498908062,0.885692715681476,0.815515279769897,-0.112516117981513,3.37751938874574
0.07,0.867965787025838,128.257190732497,128.854042450877,0.0401008190421596,0.858075178693412,0.780526876449585,-0.355860094224316,3.30975996242276
0.08,1.00224013391231,128.190771634222,128.854042450877,-0.0426714363080742,0.785013452998473,0.803328394889832,0.140344623359712,3.88246272435486
0.09,1.13651062644673,128.183683647993,128.854042450877,-0.0993124900254353,0.680812653043469,0.676415979862213,0.487557490917663,3.73871906371896
0.1,1.27078256806087,128.232204895719,128.854042450877,-0.0604299449291794,0.711652945458662,0.733250141143799,0.240973568185632,3.88440286115102
0.11,1.40506635894454,128.298388778022,128.854042450877,0.0721843714258799,0.768311617664039,0.738154590129852,-0.533593446857881,3.54044536623413
0.12,1.53934318619366,128.22631541736,128.854042450877,0.0887802648388214,0.774656412892879,0.798274457454681,-0.633381485982351,3.85060969806011
0.13,1.67361298972945,128.215483646756,128.854042450877,-0.000602733527665877,0.819027057176316,0.802004635334015,-0.085368941791642,3.60878592104551
0.14,1.80789290761428,128.252984188624,128.854042450877,0.0514750823367042,0.870493222757312,0.810048222541809,-0.399185629060486,3.33743886626214
0.15,1.94216579950411,128.176897005969,128.854042450877,-0.0472321210794036,0.862000165592798,0.791500270366669,0.209573895285891,3.27909800550953
0.16,2.0764397383571,128.191000095833,128.854042450877,-0.0765610165043232,0.819216909162173,0.752322733402252,0.384503664302081,3.30169405838771
0.17,2.21071477737735,128.256423313603,128.854042450877,0.0308094838238217,0.78413861607818,0.73079389333725,-0.274626192559946,3.38038835785085
0.18,2.34498704259978,128.216694168213,128.854042450877,-0.0321500572428354,0.777304443014494,0.789513647556305,0.121534067216585,3.76744617472993
0.19,2.47925009463503,128.26131864838,128.854042450877,-0.0682165546800309,0.732234900156679,0.737102568149567,0.337480925655871,3.73200282049327
0.2,2.61351109100084,128.184530628129,128.854042450877,0.044973355730429,0.743296048522127,0.728796064853668,-0.32695275240281,3.61562653872417
0.21,2.7477777205522,128.25129485035,128.854042450877,0.0169198113951119,0.741042599699574,0.790192008018494,-0.168401654570861,3.99348374853776
0.22,2.88204401754755,128.227825771918,128.854042450877,-0.00946121382020212,0.806448475408163,0.746633410453796,0.00743936812693181,3.33666330514523
0.23,3.01631840931024,128.253538587514,128.854042450877,-0.0193606355726801,0.83893655317034,0.815402626991272,0.0733427247230127,3.54981093217354
0.24,3.15059001670583,128.212064618116,128.854042450877,0.037510825618078,0.842734343311487,0.757198989391327,-0.272386294917831,3.17735821131676
0.25,3.28486667062556,128.187034890197,128.854042450877,-0.06564018159102,0.86093999259373,0.78991436958313,0.34318337085044,3.25906666118418
0.26,3.41913869031168,128.215647885937,128.854042450877,-0.00578146852907258,0.837155075081376,0.778988182544708,-0.0324599623755367,3.34022180395344
0.27,3.55340629946535,128.228206165148,128.854042450877,-0.0118298947721784,0.765027988503188,0.76499080657959,-0.0143637703289557,3.69676618370012
0.28,3.68767448040947,128.20090014351,128.854042450877,-0.0591061417867971,0.737549094250695,0.755769670009613,0.267019956169966,3.80947613445993
0.29,3.82193840712964,128.240113944108,128.854042450877,-0.056963537778528,0.71742832252602,0.752487897872925,0.256368467119091,3.91470222009291
0.3,3.95620362897,128.23687351777,128.854042450877,0.0174999946682419,0.714042007968333,0.752424240112305,-0.198181631937919,3.93187677695642
0.31,4.09047338972852,128.235093872107,128.854042450877,0.00713930430684964,0.777732068463184,0.763753592967987,-0.102873754737636,3.61063142086155
0.32,4.22474547542746,128.172560384749,128.854042450877,0.0459918601022354,0.766999771653147,0.772700428962708,-0.348203016401031,3.72408127134975
0.33,4.35901192657586,128.198295492354,128.854042450877,0.0733094409392899,0.84078840031958,0.784560561180115,-0.504911225317491,3.36219681962487
0.34,4.49328254329664,128.23289585833,128.854042450877,0.0855067453325706,0.821914311789215,0.815921068191528,-0.561560890003965,3.66632960618278
0.35,4.62755484234439,128.243586747627,128.854042450877,0.0136355937918263,0.853833007088106,0.767123281955719,-0.138168914393316,3.18489436096783
0.36,4.76182226619081,128.245080623172,128.854042450877,-0.0483714585291714,0.780192377413215,0.749241530895233,0.231311374205903,3.52947449269282
0.37,4.89608956356861,128.203760601567,128.854042450877,-0.0753614861451916,0.771756512172978,0.782408714294434,0.384477647240011,3.78664117049986
0.38,5.03036803255285,128.223307306682,128.854042450877,-0.0602827099117025,0.73310130980507,0.764142990112305,0.290388706048139,3.89378674464189
0.39,5.16463356531137,128.237476801115,128.854042450877,0.0704766887355549,0.681560880767107,0.716892182826996,-0.509333686310973,3.91779386346662
0.4,5.29890438312978,128.26642781868,128.854042450877,0.116477540237218,0.745348527978609,0.746073424816132,-0.759145502091552,3.70048679951876
0.41,5.4331714582529,128.236326598032,128.854042450877,-0.0555241143097713,0.742486275506811,0.744620800018311,0.278664726612655,3.70653639467655
0.42,5.56744501138566,128.189635594907,128.854042450877,-0.00351991418729475,0.777734956612692,0.769217669963837,-0.0336720005458137,3.63417825890132
0.43,5.70172635406043,128.21844121506,128.854042450877,0.07742911389069,0.809364202802002,0.79568886756897,-0.528577068269454,3.59162807505662
0.44,5.83599009039429,128.22631082098,128.854042450877,0.0147178861410586,0.883979540721633,0.8131383061409,-0.152721714662844,3.26059312652707
0.45,5.97025247733117,128.215654957801,128.854042450877,-0.041051306817429,0.824072986005991,0.734655141830444,0.18390304332319,3.16543101899619
0.46,6.10452517065212,128.27377468765,128.854042450877,-0.0726236137888286,0.84469281396963,0.782986760139465,0.383391360512752,3.33146986647589
0.47,6.23878606070696,128.177634780845,128.854042450877,-0.0942944726748922,0.834875901052898,0.822273969650269,0.504459172590514,3.63994097176455
0.48,0.0898760701949728,128.227785374643,128.854042450877,-0.0886968923272108,0.699053650425367,0.68745744228363,0.467324641701318,3.63607135122659
0.49,0.22414580310112,128.293821063184,128.854042450877,-0.0640377476267137,0.748462265446686,0.790733516216278,0.322745925778965,3.95181911638703
0.5,0.358407348739346,128.261929480436,128.854042450877,0.00177008482671315,0.826601975380223,0.883700489997864,-0.0798828789983436,4.04005058481084
0.51,0.492676139926197,128.249124601108,128.854042450877,0.00679175050400874,0.824283599464179,0.794524252414703,-0.0926589616806828,3.51299783418981
0.52,0.626949097329258,128.179332376981,128.854042450877,0.014051213333393,0.775356636349865,0.760653734207153,-0.156592503580904,3.59497601154602
0.53,0.761224350283582,128.243814989923,128.854042450877,0.084913128183495,0.823050142616321,0.812869608402252,-0.585409372494789,3.62146515890619
0.54,0.89549129385078,128.171258262662,128.854042450877,-0.0466137477780086,0.865030848685069,0.808571577072144,0.225498606343538,3.35443567691134
0.55,1.02976304422762,128.199730447713,128.854042450877,-0.0209006224796623,0.831013560690535,0.769642531871796,0.0640339196641257,3.33109660029127
0.56,1.16403705101232,128.257388943333,128.854042450877,0.0392395757404503,0.78630548468424,0.783535063266754,-0.310637885336731,3.68603030896175
0.57,1.29830128715606,128.220914827557,128.854042450877,-0.1031026619385,0.844435601187681,0.849176585674286,0.537146623742656,3.73509483217852
0.58,1.43257276785285,128.255429855536,128.854042450877,-0.0737440365575016,0.728772634998904,0.728655159473419,0.36574647385942,3.7002350130913
0.59,1.5668373271427,128.250907933924,128.854042450877,-0.0357294290071365,0.726608361902572,0.787329792976379,0.12993793888315,4.06426909498737
0.6,1.70110072378494,128.189034771032,128.854042450877,0.0965370178479963,0.745323566603513,0.768646419048309,-0.648214536151168,3.84077957364788
0.61,1.83536998088525,128.135585802738,128.854042450877,0.0771692464196235,0.727081591408566,0.72374415397644,-0.54475393206089,3.67971195647529
0.62,1.96964206739507,128.213334943048,128.854042450877,0.00776658507573674,0.817699181406503,0.793936133384705,-0.114361085667699,3.55565401959144
0.63,2.10391537372987,128.206341868122,128.854042450877,0.0369666735661837,0.810845845127341,0.801923215389252,-0.270211713043976,3.64472012495774
0.64,2.2381772307482,128.226518957095,128.854042450877,-0.0230252873799579,0.890858301196059,0.846946477890015,0.0941522655712276,3.45461516891105
0.65,2.37245097920627,128.221039894993,128.854042450877,-0.0686567252406747,0.819914297066284,0.745360851287842,0.360071375786365,3.27368332411401
0.66,2.50670924794647,128.208071847537,128.854042450877,-0.00952764048781421,0.870286372400625,0.846886813640594,-0.00445981937695689,3.59993192691384
0.67,2.64099389702948,128.202391974364,128.854042450877,-0.0689397569060536,0.767421419892528,0.802526473999023,0.361717945574485,3.93196252767902
0.68,2.77526248545394,128.245851352608,128.854042450877,-0.028961974313626,0.747045677500836,0.727972745895386,0.0940332893019125,3.60329550357976
0.69,2.90953632995901,128.234255433715,128.854042450877,-0.0277452690052746,0.711415410203915,0.757944405078888,0.0857171882980013,3.97793204233981
0.7,3.04381033096256,128.190674067787,128.854042450877,0.0833284443334015,0.712947023339055,0.739464104175568,-0.588828680046604,3.84123189875738
0.71,3.17807488578178,128.223736084011,128.854042450877,0.0386711772612583,0.78645730477556,0.789342761039734,-0.306924489238211,3.70953451757832
