t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r,"T_ass:0.07,S_pct:-0.01,kp:0.2892,ki:0.1708"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.000544532713541285,0.000270457385340706,0.000284419778408255,-0.013700213818927,-0.0142347055978771,-9.11657620853035e-05,0.000607535423074113,-0.00342498253465668,-0.0194574457928025,0.6302899738834,-0.00852890797882619,0,0
0.02,0.00060607877802503,0.000198476787772961,0.000320753530634466,-0.0203744887782451,-0.0160531440066353,-9.80490862593364e-05,0.000678675687843979,-0.000961800285048404,-0.0259209985472066,0.630233726878518,-0.00695538537772356,0,0
0.03,0.000619507635488346,0.000146173508255742,0.000335182960816165,-0.0236596319952509,-0.0167753083559945,-9.42761759299309e-05,0.000698032470807685,0.000389586101807246,-0.0290006444628163,0.630191324780206,-0.00510266048088955,0,0
0.04,0.000591459456845301,8.47553383209743e-05,0.000327656289035169,-0.0253273338032001,-0.0163986195352064,-8.38105783266653e-05,0.00067093868557163,0.00167589787704896,-0.030126067226654,0.630164893553239,-0.00321149041774519,0,0
0.05,0.000599163588741047,6.30408976576291e-05,0.000335688220656999,-0.0267975775172549,-0.0168006030854224,-8.18484342649601e-05,0.000681897661947368,0.00221691419336418,-0.0315508433530143,0.630146154543763,-0.00242847634387781,0,0
0.06,0.00059470136685283,4.04742786486167e-05,0.000336281799309526,-0.0277023443582462,-0.0168303032074603,-7.87307304764881e-05,0.000678643232016731,0.00272564939396257,-0.0322993780803763,0.63013332681604,-0.00169563091687819,0,0
0.07,0.000605517707205473,3.76061980205122e-05,0.000344383045563109,-0.0283862096840578,-0.0172357625844881,-7.85535598041824e-05,0.000692156567586255,0.00280077331107547,-0.0330908458785221,0.630125622378865,-0.00152833643521952,0,0
0.08,0.000589619764800325,1.57457106979564e-05,0.000336924344528152,-0.0286841343575445,-0.0168624631858239,-7.52078179874255e-05,0.000674917228326915,0.00327772571786022,-0.0331116103905173,0.630119366399263,-0.000893521517815202,0,0
0.09,0.000586428991581699,8.11177596915513e-06,0.000336370868664111,-0.028906135788807,-0.0168347636546511,-7.3772553598794e-05,0.000672013343460449,0.00343080355991844,-0.0332746681498428,0.630115922821729,-0.000656500522280272,0,0
