t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r,"T_ass:0.32,S_pct:8.17,kp:0.0618,ki:9.1385"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.00046994677597797,5.21734327776358e-05,0.000260666367431674,-0.0208861160980341,-0.0130419207699765,-0.000477129972723806,0.000247272959481407,0.0212465634307521,-0.0124460871527534,1.59907812173749,-0.00449019878975971,0,0
0.02,0.000561180970969039,9.78211974143051e-05,0.000308764528116456,-0.0231644547767186,-0.0154484152724466,-0.000569677659338768,0.000292791701472281,0.0235915295348025,-0.0147880097964921,1.59904347306135,-0.00488421381165798,0,0
0.03,0.000594054304313107,0.000142387871164829,0.000327195321267217,-0.022578653472305,-0.0163705623451211,-0.00060304768332697,0.000310307567368349,0.0230314619707534,-0.0157271314487947,1.59900884989268,-0.00467678120925481,0,0
0.04,0.000580315906745663,0.000179110138560645,0.00032091631607481,-0.0200542968929615,-0.0160563988890891,-0.000589128279790611,0.000304436698668251,0.020498772196223,-0.0154849316305867,1.59897813638626,-0.00405036608683103,0,0
0.05,0.000592301800908186,0.000214070052606985,0.000328984694069518,-0.018903758971812,-0.0164600967729287,-0.000601328064812662,0.00031218089429008,0.0193596227932048,-0.0159214287783278,1.59895026344565,-0.00373406700889119,0,0
0.06,0.000592179983763516,0.000244880618993193,0.000330174651161403,-0.0173550183361571,-0.016519622409584,-0.00060123192212562,0.000313388910551803,0.017812769074374,-0.0160249756288927,1.59892514590544,-0.00333639039582399,0,0
0.07,0.000600792116437773,0.000272441888228059,0.000336414397237677,-0.016405086844173,-0.0168318200354603,-0.000610009152754221,0.000319397319022319,0.0168716358908875,-0.0163641358597482,1.59890326447767,-0.00307985999751704,0,0
0.08,0.000590056094373526,0.000296412414172664,0.000331267828709654,-0.0146671086891297,-0.0165743233255673,-0.000599126416259529,0.000314566536976459,0.0151267831258239,-0.0161558875727543,1.59888317408546,-0.00265206631672559,0,0
0.09,0.000586797395771954,0.000317650963552296,0.000330504198891396,-0.0134393113243588,-0.0165361115554468,-0.000595842072556327,0.000313905134939478,0.0138981146565647,-0.0161524141613631,1.59886569963336,-0.00234266832862818,0,0
0.1,0.000584957815178402,0.000336432043695822,0.000330389131640634,-0.0124051209054496,-0.0165303584672668,-0.000593995154948726,0.000313850887750826,0.0128639211056998,-0.0161758866687886,1.59885030286722,-0.00208069737711834,0,0
0.11,0.000583505804532763,0.000353034061845392,0.000330370237774316,-0.0114990703017376,-0.0165294158602454,-0.000592538917055938,0.000313880789002229,0.0119579802602792,-0.016200522046527,1.59883670321147,-0.00185108626679264,0,0
0.12,0.000582251543282411,0.000367709086276591,0.000330365784704433,-0.0106990881415787,-0.0165291969572983,-0.000591281251406156,0.000313918609027398,0.0111581114759077,-0.0162228661895994,1.5988246852879,-0.00164847838419202,0,0
0.13,7.4680816489692e-05,0.000328510592225939,0.00063929377424936,0.0127204501245299,-0.0319857847844968,-9.25752721904789e-05,0.000636948642454333,-0.0118186674287435,-0.0323298527658193,1.59883689801607,0.00339304317377066,0,0
0.14,-7.47407890568204e-06,0.00028976213070564,0.000698512337383609,0.0148936239618337,-0.0349486677275225,-1.21320698843054e-05,0.000698446963063713,-0.0139069505433181,-0.0353528801829637,1.59886423344197,0.00380880762829532,0,0
0.15,-1.88805666753516e-05,0.000256023689871654,0.000666396278586646,0.0137798868742863,-0.0333418064803511,1.53289564894821e-07,0.000666663672637427,-0.0128378397603348,-0.0337157413077226,1.59889115517851,0.00350152153390612,0,0
0.16,-1.87365534989988e-05,0.000226290576392785,0.000661645945731127,0.0122886157506913,-0.0331041308466155,1.26720963130916e-07,0.000661911172198548,-0.0113530227288109,-0.0334365433485144,1.59891540992529,0.00311721324605542,0,0
0.17,-1.69018776468824e-05,0.000200026857783087,0.000660943360452524,0.0108859906317428,-0.0330689782395375,-1.70169976655854e-06,0.000661157245602111,-0.0099512226931781,-0.03336218339306,1.598936923118,0.00275873641050964,0,0
0.18,-1.49948013679399e-05,0.000176817629835568,0.000660839480352887,0.00963220529840556,-0.0330637812240267,-3.61767432296101e-06,0.000660999678739431,-0.00869744600598478,-0.0333218763084241,1.59895594913248,0.00243877328147412,0,0
0.19,-1.32617082557171e-05,0.000156305934069678,0.00066082414773595,0.00852176045207281,-0.0330630149839119,-5.36076368490406e-06,0.000660935465344022,-0.00758690313508951,-0.0332899723918129,1.59897276627771,0.00215546784279547,0,0
0.2,-1.17221598463701e-05,0.000138177972985432,0.000660821905345234,0.00753997141645154,-0.0330629020204522,-6.9094607500444e-06,0.00066088974796687,-0.00660501260038538,-0.0332622979892201,1.59898762945517,0.00190499766249638,0,0
0.21,-1.03601786296953e-05,0.000122156692668796,0.000660821593592362,0.00667221077400324,-0.0330628862508042,-8.27957292451744e-06,0.000660850936695543,-0.00573716059387958,-0.0332378975292718,1.59900076543682,0.00168362004088093,0,0
0.22,-9.15623599970368e-06,0.000107997257146053,0.000660821563044859,0.0059052816723472,-0.033062885968845,-9.49070758565468e-06,0.000660816843998589,-0.00497015089922929,-0.0332163270133454,1.59901237489059,0.0014879663379007,0,0
0.23,-8.09214207198421e-06,9.5483279437758e-05,0.000660821570684125,0.00522747416685367,-0.0330628864378414,-1.0561158051318e-05,0.000660786722767159,-0.00429227256522274,-0.033197249012419,1.59902263520645,0.00131504921289913,0,0
0.24,-7.15188494296203e-06,8.44235619297251e-05,0.00066082158131029,0.00462844448404267,-0.0330628873345565,-1.15070326889825e-05,0.000660760092607267,-0.00369318059387465,-0.0331803772483146,1.59903170316683,0.00116222678439261,0,0
