t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r,"T_ass:0.96,S_pct:5.00,kp:0.0981,ki:3.7825"
0,0.115683292648929,0,0.065713043520239,-0.221446770644489,-0.264839972157011,0,0,0,0,0,0,0,0
0.01,-0.961942741082886,0.0550194345414639,-0.0809265932243299,-4.32045441972464,4.41297626904134,-1.0633536732475,-0.119574258493424,-3.2157834332779,-4.77224044067186,-1.38246802379418,-5.1471958971581,0,0
0.02,-2.59467904406087,0.212821751832962,-0.113922619811545,-5.47294519747607,5.34667786053629,-2.62771369858569,-0.181785975300819,-4.7208655184433,-5.24865122432278,-1.46590278115324,-17.5205464160325,0,0
0.03,-0.944665232151317,0.344480514526367,0.0678454524981521,-2.09455128379905,1.70478893502106,-0.946144069218436,0.0821492970644361,-2.22795534580075,-2.07372959646142,-1.61192166732123,-22.1867362833277,0,0
0.04,-1.95281050341804,0.539225280284882,-0.0547488662648832,-4.62970190877469,4.03591540990574,-1.89857788103435,0.541368228525928,-5.08241393744354,-2.68758681894044,-1.81001334049306,-31.7427436545982,0,0
0.05,-1.91013779047826,0.769808053970337,0.0207257757528922,0.516424330496864,-2.53468942436286,-1.64988923324945,0.858940082945864,1.97152080723697,1.5748106056147,-2.07593050818025,-40.65746025977,0,0
0.06,-1.57050187321285,1.02502989768982,-0.0639838267281705,-2.84485634469798,-1.21819373898471,-1.02123319027691,1.06549578348813,-0.379059471852971,3.28142865613314,-2.40359403170197,-48.6431712975069,0,0
0.07,0.536037472970536,1.19736838340759,-0.100857183984899,0.367283504349084,4.44358947531155,0.296401206050417,-0.494950085367926,-3.7914029444115,-2.03649741764256,-2.75099857573993,-45.9852243654143,0,0
0.08,-1.17875753430088,1.44185614585876,0.129899058607773,-1.08859576329229,-5.57550412896327,-0.146766487998926,1.15447539639772,5.5335787737673,1.30886497343722,-3.11094700821697,-51.986223479983,0,0
0.09,-0.407199094543111,1.68085360527039,0.09142023308115,-0.620755924789045,-3.64589936458372,0.0918926804280881,0.456480425291131,3.62983516899345,-1.01262223020109,2.78113158435602,-54.5197630117927,0,0
0.1,-0.889765062903071,1.9458954334259,-0.0276380877776243,1.19707805564,1.96015082394044,0.668642010061518,0.601532021384705,-2.73353248762673,1.1772635116025,2.36494319459952,-58.8547692663271,0,0
0.11,3.23248178953469,2.02538561820984,-0.0353439770031853,-0.701427595396386,-1.18977362847517,-2.98364034921895,-1.30089745092441,1.08550239537594,-0.408981915030549,1.98690324241504,-43.9684298771174,0,0
0.12,2.97244780168659,2.02693891525269,-0.154355133878932,-1.66735484708341,4.95928984887348,-2.98059439554628,-0.530078636806833,1.30908712126205,4.54443287687432,1.71837646995184,-29.1705928754268,0,0
0.13,2.09868055147226,2.00708746910095,-0.0459721791344305,3.6875478291472,-2.35179747340241,-2.11334888213457,0.102537704577974,-3.70077667555216,-2.42844609517163,1.54607203171769,-17.8892522534439,0,0
0.14,-0.341912383644827,2.08826947212219,-0.00685268706628028,-3.7391787452824,3.94921530680902,0.275609031368484,-0.123480881089733,4.61184085245963,3.14828446801687,1.40756947145343,-19.8910805089176,0,0
0.15,-0.538834835643873,2.20226311683655,-0.169323289326518,-3.60698484927858,5.15898176484125,0.45840688976752,-0.252769904300298,4.92507342878343,3.39346591978768,1.25008146498736,-22.9606340191978,0,0
0.16,1.71755420668374,2.21138620376587,0.0231877729942634,-0.285377218756779,-3.23829885165147,-1.47334407007944,0.793729590272056,-1.03601029821238,-2.6815946397739,1.11079913064907,-15.0402650491196,0,0
0.17,0.0357685293615616,2.25873494148254,0.0753345969173908,-0.238390777633169,-0.820875203575846,-0.0843911674428466,0.0667588803537737,-0.190990491749992,-0.520467198432467,1.00206611310521,-14.6248003410603,0,0
0.18,1.62552728501673,2.23772382736206,-0.0429628081603049,-0.475462555990014,2.07887842374705,-1.29876540805694,0.937955257968795,1.68894608424134,1.07324800541034,0.921926279793428,-7.27934576215412,0,0
0.19,4.75558105696696,2.02590227127075,0.148125046176183,2.63055384539611,1.73720598261759,-3.82932444517323,2.68851112933814,-0.953892002606973,3.49377648576527,0.948944020632161,14.5676963701453,0,0
