t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r,"T_ass:0.29,S_pct:0.43,kp:0.1023,ki:0.4079"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.00107099576929024,4.57205205748323e-05,0.000566656117324302,-0.0512611252212685,-0.0283708247485058,-0.000193231634333139,0.00119615744307829,0.00825199339758051,-0.0580044072534777,0.646810051114308,-0.00389217903509974,0,0
0.02,0.00115687299635968,3.14199824060779e-05,0.000627045854525144,-0.0562701471758464,-0.0313943449331336,-0.000196761585415517,0.00130108666578678,0.00885628953942154,-0.0638239805446661,0.64678560758293,-0.00300824435965003,0,0
0.03,0.00117809724609371,2.39946766669163e-05,0.000649843790162131,-0.0577028185418494,-0.0325357744952922,-0.000191334835757638,0.00133176614069118,0.00880759561584655,-0.0656552979518776,0.646767828771991,-0.00216363851599081,0,0
0.04,0.00113334489076058,1.53792134369723e-05,0.000636742292835241,-0.0558962301680173,-0.0318798380944963,-0.000174808522918379,0.00128815890681751,0.00824171640670016,-0.0638183886869513,0.646757309086343,-0.00138359713357326,0,0
0.05,0.00114997639649321,1.26949153127498e-05,0.000650129571914272,-0.0568620507243427,-0.0325501030020552,-0.000174136960788885,0.00130950009227039,0.00828831946520735,-0.064993121008802,0.646749576768071,-0.00105245833120777,0,0
0.06,0.00114308687616103,9.57298107095994e-06,0.000650533479712234,-0.0566737232535132,-0.0325703161633249,-0.000169656279244803,0.00130424620436131,0.00815836748173696,-0.0648550494751772,0.646744401675952,-0.000742698228782716,0,0
0.07,0.00117204441047869,1.01468813227257e-05,0.000668526790213269,-0.0580928163203303,-0.0334711841786891,-0.000172742129972077,0.00133819891118619,0.00829435676756039,-0.0665304375768248,0.646741297238242,-0.000718715216168665,0,0
0.08,0.00113585626723348,6.23624828222091e-06,0.000651089259524511,-0.0564790277116931,-0.0325981448857953,-0.000164848393761415,0.0012988116456038,0.00801847604019089,-0.0647164867962283,0.646738825644465,-0.000409882441157148,0,0
0.09,0.00113222486334851,5.30492752659484e-06,0.000650559323573875,-0.0563439983571707,-0.0325716193085558,-0.000163081368942231,0.00129559447427711,0.00795819291913697,-0.06459275269499,0.64673750962341,-0.000321919463619959,0,0
0.1,0.00113082970284025,4.78476704302011e-06,0.000650542841069987,-0.0563002082819141,-0.0325707863363163,-0.000162252746718001,0.00129447126313242,0.00793241692855884,-0.0645573104832008,0.646736681487264,-0.00027091951706001,0,0
0.11,0.00112998274274303,4.45645218860591e-06,0.000650542087514387,-0.0562742291314727,-0.0325707350940321,-0.000161742298772337,0.00129379497421828,0.00791676906869815,-0.0645365510111906,0.646736153112318,-0.000238589678423574,0,0
0.12,0.00112944350697031,4.24731797465938e-06,0.000650541902821262,-0.05625767293613,-0.0325707334289473,-0.000161417074369217,0.00129336457770645,0.00790677210980797,-0.064523339925113,0.646735815644531,-0.000217950880400046,0,0
0.13,0.00118851629443375,7.99747613200452e-06,0.000681701300391096,-0.0590235962589425,-0.0341307969157802,-0.000172144893485021,0.00135928428988806,0.00832837779577036,-0.0676707790463195,0.646734622849259,-0.000443229980233862,0,0
0.14,0.00124706824758161,3.13922510031261e-06,0.000717629100775036,-0.0621938930066362,-0.0359295837853501,-0.000178754059115722,0.00142766162894262,0.00880316982761687,-0.0712847776127242,0.646733993256971,-0.000696005701710365,0,0
0.15,0.00113139056608728,3.1996723919292e-06,0.000652577163787308,-0.0564072637178489,-0.0326726378549361,-0.000160963030986028,0.0012961452350658,0.00791543506756055,-0.064704146329474,0.64673345395884,-0.000101489497702921,0,0
0.16,0.0011268870684293,3.16827004098741e-06,0.000650602826576033,-0.0561836026881179,-0.0325737732789911,-0.000159825696752846,0.00129136139387832,0.00785959840261247,-0.0644660734774273,0.64673404498757,-0.000110992035212032,0,0
0.17,0.00112730224142725,3.41324061992054e-06,0.000650543099181127,-0.0561920456275009,-0.0325708017953153,-0.000160124083790569,0.00129165666692404,0.00786708458704393,-0.0644710175310825,0.646734466888271,-0.000135529464900479,0,0
0.18,0.00112772389764366,3.58267652700306e-06,0.000650541416617181,-0.0562045920690596,-0.0325707107373776,-0.000160379860563576,0.00129199211467272,0.0078747350481378,-0.0644809732828914,0.646734738480615,-0.000152078787536991,0,0
0.19,0.00112800050044551,3.69190638593864e-06,0.000650541448882448,-0.056212898258831,-0.0325707073027495,-0.000160546735470743,0.0012922128506748,0.00787975415786916,-0.0644875986471089,0.646734912058544,-0.00016269112964789,0,0
0.2,0.00112817756814984,3.76211301045259e-06,0.00065054150308779,-0.0562181802247928,-0.0325707069958263,-0.000160653533651867,0.00129235417538745,0.00788294438110581,-0.0644918128903169,0.646735022935274,-0.000169471665602009,0,0
0.21,0.00112829060742723,3.80736605620768e-06,0.000650541538727542,-0.0562215093198777,-0.0325707068287844,-0.00016072171240187,0.00129244439709455,0.00788495514145316,-0.0644944690337783,0.646735093757493,-0.000173802781846524,0,0
0.22,0.00112836290134201,3.83667884307215e-06,0.000650541561521999,-0.0562235987125585,-0.0325707067507778,-0.000160765315839778,0.00129250209810869,0.00788621715604176,-0.0644961360811927,0.646735138994933,-0.000176569258254257,0,0
0.23,0.00112840911822473,3.85581097361865e-06,0.000650541576082133,-0.0562248936353541,-0.0325707067297536,-0.000160793191126131,0.00129253898586914,0.00788699933634931,-0.0644971692607585,0.646735167890232,-0.000178336327042834,0,0
0.24,0.00112843857130113,3.86843930755276e-06,0.00065054158538226,-0.0562256757764469,-0.03257070674536,-0.000160810955516465,0.00129256249369138,0.00788747182011299,-0.0644977933164949,0.646735186347112,-0.000179465030597792,0,0
0.25,0.00112845743058324,3.87691397918388e-06,0.0006505415913227,-0.0562261360467296,-0.0325707067841096,-0.000160822330318349,0.00129257754612641,0.00788774990114916,-0.0644981605680248,0.646735198136556,-0.000180185982559524,0,0
0.26,0.00114159634950787,4.86847056890838e-06,0.000657070863059736,-0.0568334075960366,-0.0328976089582297,-0.000163528975598433,0.00130699755869377,0.00799279913700023,-0.0651797825717561,0.646735245273455,-0.000246959001409831,0,0
0.27,0.00109972694241539,1.60949093697127e-06,0.000634540795492786,-0.0549029518248984,-0.0317696016902298,-0.000156278926162611,0.00126000724849359,0.00772972687389221,-0.0629594554701515,0.646734889459238,-2.3206952059222e-05,0,0
0.28,0.00109620662662609,9.61008663580287e-06,0.000631129001266832,-0.0543268571718077,-0.0315987826695273,-0.000156880464667087,0.00125514194587898,0.00751890571915222,-0.0623967670087843,0.646734907574389,-6.95618659434233e-06,0,0
0.29,0.00112707858172851,3.82089865524904e-06,0.000649952369825652,-0.0561597619639855,-0.0325412063423437,-0.000160461793751221,0.00129112207988992,0.0078713021323239,-0.0644274132400811,0.646735279067514,-0.00017775894361748,0,0
0.3,0.00112156243093266,4.04365800932283e-06,0.000647117103513097,-0.0558727552038643,-0.0323992737632898,-0.000159402158340611,0.00128501119997263,0.00781170679760002,-0.064112829849944,0.646736532373767,-0.000217639920582946,0,0
0.31,0.00112951963809286,4.42747841589153e-06,0.000650438090661898,-0.0562513504266959,-0.0325655313151926,-0.000161546206069739,0.00129336272790188,0.00790713420963127,-0.0645151570040607,0.646736131445035,-0.000235167655270293,0,0
0.32,0.00112940660317749,4.25542248194688e-06,0.000650538741100561,-0.0562542487990237,-0.0325705779547298,-0.000161397346567003,0.00129333322291463,0.00790483218737292,-0.0645205136707472,0.646735805306005,-0.000217217373900091,0,0
0.33,0.00112908785815743,4.12611689171172e-06,0.000650541694768283,-0.0562447227096288,-0.0325707300547277,-0.00016120264486225,0.00129308066080966,0.00789895687462459,-0.0645130046523474,0.646735593663618,-0.000204368919267504,0,0
0.34,0.00112887260623261,4.04299180445378e-06,0.000650541719494003,-0.0562380606083971,-0.0325707364203368,-0.000161072742682423,0.00129290891460666,0.0078949285853034,-0.0645076928326364,0.646735458320965,-0.000196096445198435,0,0
0.35,0.00112873453766105,3.99026066588704e-06,0.000650541678761806,-0.0562337368908943,-0.032570736798628,-0.000160989465459479,0.0012927987176379,0.00789231730215067,-0.0645042431776546,0.646735371864459,-0.000190809344103569,0,0
0.36,0.00112864641125999,3.95698498323327e-06,0.000650541651026397,-0.0562309368094137,-0.0325707341586082,-0.000160936312621793,0.00129272838007445,0.00789062856194524,-0.064502007402812,0.646735316640777,-0.000187432095425963,0,0
0.37,0.00112859026046532,3.93613800042658e-06,0.000650541633257725,-0.056229113623564,-0.0325707074505691,-0.000160902445621579,0.00129268356360395,0.00788954897824244,-0.0645005365841412,0.646735281367197,-0.000185274893076258,0,0
0.38,0.00112855428813091,3.92322999687167e-06,0.000650541621906227,-0.0562279021181916,-0.0325707076091072,-0.000160880749196294,0.00129265485247575,0.00788881736451979,-0.0644995700091104,0.646735258836655,-0.000183896993956845,0,0
0.39,0.00112853135431253,3.91539288102649e-06,0.000650541614655436,-0.0562270888035762,-0.0325707077391628,-0.000160866916824351,0.0012926365479656,0.00788832624200278,-0.0644989211309378,0.646735244445611,-0.000183016869956053,0,0
0.4,0.001128516685982,3.91079629480373e-06,0.000650541610024123,-0.0562265266108168,-0.0325707078511616,-0.000160858069734901,0.00129262484051396,0.00788798679129836,-0.0644984726099999,0.646735235253641,-0.000182454696548501,0,0
0.41,0.00112850725634094,3.9082669900381e-06,0.000650541607066133,-0.0562261229040251,-0.0325707079517189,-0.000160852382354108,0.00129261731430047,0.00788774306505436,-0.0644981505365417,0.646735229382524,-0.000182095611988513,0,0
0.42,0.00112850131915953,3.90706009056885e-06,0.000650541605176617,-0.0562258276421005,-0.0325707080446495,-0.000160848801363398,0.00129261257556568,0.00788756482887059,-0.0644979149867603,0.64673522563259,-0.000181866249092233,0,0
0.43,0.00112849747745391,3.90669765693019e-06,0.000650541603969572,-0.0562255948893566,-0.0325707081330043,-0.000160846484279922,0.00129260950932984,0.00788742435076958,-0.0644977293093197,0.646735223237554,-0.000181719745052636,0,0
0.44,0.00112849503273216,3.90687364415498e-06,0.000650541603199005,-0.0562254050341483,-0.0325707082183083,-0.000160845009767141,0.00129260755808826,0.00788730978029837,-0.064497577857822,0.646735221707966,-0.000181626166563061,0,0
0.45,0.00112849340291765,3.9073938751244e-06,0.000650541602706713,-0.0562252386885207,-0.0325707083018309,-0.000160844026796971,0.00129260625726654,0.0078872094134012,-0.0644974451628375,0.646735220731132,-0.000181566393919778,0,0
0.46,0.00112849247159508,3.90813465855899e-06,0.00065054160239237,-0.0562250962209059,-0.0325707083838242,-0.000160843465041406,0.00129260551393048,0.00788712345901229,-0.0644973315201222,0.646735220107423,-0.000181528214535471,0,0
0.47,0.00112849177310315,3.90901504943031e-06,0.000650541602191817,-0.0562249583982481,-0.0325707084653092,-0.00016084304378655,0.00129260495643846,0.00788704031854976,-0.0644972215822547,0.6467352197092,-0.000181503827705525,0,0
0.48,0.00112849142385719,3.90998593502445e-06,0.000650541602064059,-0.0562248334987572,-0.0325707085460314,-0.000160842833109927,0.00129260467768474,0.00788696497528473,-0.0644971219561938,0.646735219455063,-0.000181488250778793,0,0
0.49,0.00112849119102654,3.91101457353216e-06,0.000650541601982078,-0.0562247115190947,-0.0325707086264995,-0.000160842692665722,0.00129260449184967,0.00788689139759882,-0.0644970246594386,0.646735219292929,-0.000181478301120595,0,0
0.5,0.00112849107461122,3.91207868233323e-06,0.000650541601929968,-0.056224593574122,-0.0325707087067133,-0.000160842622423708,0.00129260439892902,0.00788682025514816,-0.0644969305819723,0.646735219189591,-0.000181471945840704,0,0
0.51,2.5620200717453,2.73213577270508,0.0194801342872506,8.50658369325829,-0.968466557593355,-0.294024934664216,2.54516711857067,-2.00162941425845,8.32426412913237,0.12261629327001,38.0999712838682,289.194970129799,0
0.52,3.11947357148168,3.28814554214478,0.0916173820676436,8.43569773708911,-4.56351207875554,-1.63322332857562,2.65934026910172,-8.44070545965359,4.55424309274902,0.580117190036195,88.5593281820077,381.65122714562,0
0.53,3.6117722644299,3.80276918411255,0.0746904910384842,9.55377462204545,-3.71787793666732,-3.5800065256835,0.483767336247728,-9.91374263520829,-2.61054263394615,1.4571564258569,153.301477862223,480.475947427439,0
0.54,3.87874792553087,4.14637899398804,0.0170686173911674,13.3877517007449,-0.788802050015688,-1.21683938922585,-3.6829714509263,-3.39391811809522,-12.9744142096116,2.82688845786613,220.141683788733,563.762134981328,0
0.55,3.69232025898816,4.08527755737305,0.00335508184559741,19.6566752721244,-0.104740299613867,3.69224684120148,-0.0235247772855164,19.6569541466594,-0.00263822660933495,-1.57625897477684,291.90451879756,612.384459820161,0
0.56,3.19571447256246,3.58613109588623,-0.00568703502326862,19.5325244239709,0.349238020056503,-2.30690006298957,2.21152332836243,-13.8337728536711,13.7937741826053,0.80472385959836,356.639081511319,614.420959220182,0
0.57,2.26691923696414,2.67266798019409,0.0250912421913753,20.3021202340887,-1.1843668764588,1.01175869625264,-2.02876729515978,10.315062322782,-17.5265027936143,-2.66791269196127,407.408183138729,567.93791960525,0
0.58,1.08712263556867,1.47607088088989,0.0352659212012625,19.4650705588321,-1.69970371934705,-0.438910540845852,0.995206936821863,-9.96005463927199,16.809975496014,0.447793111213281,438.906171674532,481.492693089351,0
0.59,-0.142544259631389,0.197852551937103,0.0156206954758797,17.0402708058815,-0.819595798996755,-0.0901854474996572,0.111487475262011,9.8995662492237,-13.8939250929584,-2.57058023775325,447.926409221473,372.236059289793,0
0.6,-1.19447950100245,-0.925715088844299,-0.0152964180919235,13.4611924406696,0.746437702265556,0.73750101826256,-0.939737999009931,-7.86425494689684,10.9505417810405,0.678205382327895,435.392777900353,262.050062687348,0
0.61,-1.9413233120311,-1.70520043373108,-0.0672220336225658,11.8312979168649,3.348965688463,-1.08653123283519,1.61018784112705,4.24370097005066,-11.5406318569178,-2.51337735188424,406.305910202533,172.610847654896,0
0.62,-2.19131411384557,-2.00664687156677,-0.0669778097907114,9.26044925917214,3.27047531989693,0.638408584470048,-2.09732640564555,0.132146643348203,9.82010522165666,0.326036540079804,367.636584166484,120.513982730805,0
0.63,-2.03990157914848,-1.81416654586792,-0.0634947827054391,11.3156073527353,3.10736027572278,0.590244107457717,1.95367395786879,-5.93508390626689,-10.1229164112912,2.87930832877193,329.066379925653,113.584777722938,0
0.64,-1.47174634951599,-1.21840274333954,-0.0131826708072238,12.6977374201478,0.606167026873918,-1.32275499290433,-0.645391608924335,11.6321776871953,5.1276131200595,-1.10790669185939,298.615364994766,149.221638126449,0
0.65,-0.630789610882415,-0.38915890455246,-0.0201035339915893,12.1137879975103,1.01600518736411,0.523534131708792,-0.352436800309021,-9.71908035011152,7.30175344266375,1.01015229958599,281.756175539871,215.150071678592,0
0.66,0.172871923625802,0.457331538200378,0.0264204584813822,14.2570383845214,-1.29758214280403,-0.0405309372734171,-0.170117564431748,0.122119258049234,-14.3154444500286,3.05935965916925,279.884466080036,292.407386975368,0
0.67,0.865112741330869,1.10587823390961,-0.00669426087198619,12.074434192529,0.366730722314957,0.782090753634365,0.369863382103804,11.1091947328296,4.74470703842434,-1.13678742899963,291.155444288224,359.862380263721,0
0.68,1.12786150832784,1.39540863037109,0.0870334953264843,13.4158432776876,-4.32681201711178,-0.945491413236635,0.621041382495633,-13.8368193222555,2.69231946955672,1.06663834466885,310.571594450494,399.219686300162,0
0.69,0.933916823603688,1.25588536262512,-0.0208882500612467,16.1392161840583,1.07230958235556,0.277054796613776,-0.892119718464917,3.40988459880962,-15.8112881796197,-2.86284066461685,331.021532344604,399.346986720948,0
0.7,0.438753304106871,0.727701663970947,0.0439059327708421,14.4905449314609,-2.178297188048,0.203451866447549,0.391202672327507,3.34957636209701,14.2653850016263,-0.379834855680321,344.827621297005,358.920689601361,0
0.71,-0.252430364947449,-0.055422842502594,0.0355230013547418,9.89569887719288,-1.76797920885485,0.189767557531744,0.170209420659338,-7.22993320102351,-6.98417301187172,2.16211030728488,346.543300233818,286.775573305233,0
