t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r,"T_ass:1.47,S_pct:-1.07,kp:0.1731,ki:0.0007"
0,0.00391082323449543,0,0.0239806365233589,0.225794458281412,0.188971440015939,0,0,0,0,0,0,0,0
0.01,0.0716443866272311,1.05046992757707e-05,0.0225670369323714,0.198146343657969,1.0057209894235,-0.000463145344811739,0.000379503220063505,0.0226349803654556,-0.0189016644713974,1.40336597702699,-0.000571808406837017,0,0
0.02,-0.0526123828922949,1.06105826489511e-05,-0.0790072826513629,-0.563248281718356,-0.387290337332102,-0.000522030814705832,0.000427380305595721,0.0255734378096965,-0.0212963913918685,1.40336160660724,-0.000627421890039298,0,0
0.03,-0.00442743876355215,1.0952457159874e-05,-0.0421655659156474,-0.0666341862545933,-0.555069173171629,-0.000545300778985566,0.000446405152347317,0.0267198151135822,-0.0222454793812899,1.40335705403939,-0.000637339511633102,0,0
0.04,-5.97341900301432e-05,1.02460544439964e-05,0.0387524839811849,0.131888611234612,-0.397439690590252,-0.00053285436965455,0.000436355119658645,0.0261323903263068,-0.0217484951281106,1.4033527149546,-0.000603098769523415,0,0
0.05,0.0287636168615183,1.02972753666108e-05,0.0434681569340524,-0.0316640481969025,-0.187254992480084,-0.000545738305106306,0.00044699064907671,0.0267738956724871,-0.0222802263658759,1.40334840397166,-0.000600955117179217,0,0
0.06,0.0279220049753626,9.99445182969794e-06,-0.130224276725127,0.00218492470442787,-0.385347908312925,-0.000546512664799912,0.000447725378268013,0.0268274919178577,-0.0223195010858543,1.40334418557195,-0.000583917910885998,0,0
0.07,-0.0399017135179257,1.00710249171243e-05,0.128027976179896,0.122922154491582,-0.310934962448333,-0.000559541475977314,0.000458574560372767,0.0274749895753208,-0.0228617230267582,1.40334014083293,-0.000583113571515826,0,0
0.08,-0.0854429229943497,9.39290384849301e-06,0.076321581190621,-0.350013356643379,0.408696907243038,-0.000547195055237178,0.000448502119396924,0.0268911762392784,-0.0223633627172966,1.40333613482724,-0.000550403065011177,0,0
0.09,0.0274273841038446,9.06428613234311e-06,0.0422245697749096,-0.000953113153081643,0.408167604737321,-0.000546124183976555,0.000447753134051934,0.0268538022057738,-0.0223286214175271,1.40333229299799,-0.00053265069851466,0,0
0.1,0.00600614739108223,8.77006823429838e-06,0.0434871338628995,0.25724664546643,-0.135817817607091,-0.000545890137415161,0.000447674118272564,0.0268565673529348,-0.0223271146952755,1.40332857397592,-0.000516477206604751,0,0
0.11,0.0259615426775173,8.48680974741001e-06,0.0678751137435602,0.309407011465311,0.675599524258728,-0.000545722607769016,0.000447643973867069,0.0268621190437767,-0.0223279599721424,1.4033249712625,-0.000500883943753163,0,0
0.12,-0.0627951684827232,8.21252433524933e-06,-0.0865619453204872,0.499857171150846,-0.279571730047813,-0.000545564782868476,0.000447618119217759,0.0268677149836385,-0.0223289436353413,1.40332148103102,-0.000485782996871882,0,0
0.13,0.0540398168083549,8.68908500706311e-06,0.0914207414562283,0.176016961474908,-0.0635388995968368,-0.000570566676702714,0.000468222593373117,0.0280940421693954,-0.0233559499280457,1.40331799195734,-0.000502465332289603,0,0
0.14,0.00734957998151486,7.659403308935e-06,0.0926124975472755,-0.315669848328125,1.11872867316897,-0.0005911445126804,0.000485378488017395,0.0291734669773956,-0.024222953094862,1.40331459780782,-0.000513999201463822,0,0
0.15,0.0238173918377692,7.51193056203192e-06,0.0187600427216942,-0.206029364704996,-0.684348912290762,-0.00054848969822654,0.000450257072638044,0.027048364004678,-0.0224668142484064,1.40331128387357,-0.000445928963255957,0,0
0.16,-0.0148845594960868,7.17704870112357e-06,0.106440645208813,-0.0314904767817859,0.104383487125621,-0.000545215550188982,0.000447715574603703,0.0269011656027943,-0.022342422931796,1.40330821007765,-0.000428679579475224,0,0
0.17,-0.0210319975636578,6.93696711095981e-06,-0.0563788748348332,-0.0943052297191502,-0.154380688369332,-0.000544850245920237,0.000447512967629924,0.026894707685665,-0.0223342846030291,1.4033052422865,-0.00041554895989597,0,0
0.18,0.00604029807515217,6.71058069201536e-06,0.108159352514552,0.0053425516731046,-0.355646695285797,-0.000544703480695483,0.000447478901845184,0.0268985005736362,-0.022334465322763,1.40330236788016,-0.000403091475422818,0,0
0.19,0.0739306057545347,6.49171761324396e-06,-0.0149337533887183,-0.263595840905577,-0.478737342568125,-0.000544576502459218,0.000447457533170679,0.0269029131768885,-0.0223352158813879,1.40329958325888,-0.000391042231708383,0,0
0.2,0.0907036841030974,6.27972121947096e-06,0.0963005170245111,-0.224638214367907,-0.0908991040920162,-0.000544454671529865,0.000447437676738075,0.0269072453889632,-0.0223359856314338,1.40329688556948,-0.000379370553695243,0,0
0.21,0.0357060985451592,6.07434458288481e-06,0.121546109274555,-0.00790812117926329,0.718098867756313,-0.000544336711396207,0.000447418496898645,0.0269114460061737,-0.0223367320560698,1.4032942720945,-0.000368063336526413,0,0
0.22,0.0204831472014405,5.8753794291988e-06,-0.151529344914894,0.00232910142254023,0.0496267729566977,-0.000544222513494747,0.000447399931908839,0.0269155197148296,-0.0223374545498775,1.40329174020474,-0.000357109105855879,0,0
0.23,0.0723268941714245,5.68262566957856e-06,0.0860114297622856,0.269689294643485,0.253989325951741,-0.00054411184775809,0.000447381940527906,0.0269194648181901,-0.0223381529018622,1.40328928735335,-0.000346496835336569,0,0
