2025-05-14 09:06:33,943 INFO    MainThread:28024 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
2025-05-14 09:06:33,949 INFO    MainThread:28024 [wandb_setup.py:_flush():79] Configure stats pid to 28024
2025-05-14 09:06:33,949 INFO    MainThread:28024 [wandb_setup.py:_flush():79] Loading settings from C:\Users\39340\.config\wandb\settings
2025-05-14 09:06:33,949 INFO    MainThread:28024 [wandb_setup.py:_flush():79] Loading settings from C:\Users\39340\Documents\GitHub\in-context-bldc\speed_controller\wandb\settings
2025-05-14 09:06:33,949 INFO    MainThread:28024 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-05-14 09:06:33,949 INFO    MainThread:28024 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2025-05-14 09:06:33,949 INFO    MainThread:28024 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'speed_controller\\train_zerostep.py', 'program_abspath': 'c:\\Users\\39340\\Documents\\GitHub\\in-context-bldc\\speed_controller\\train_zerostep.py', 'program': 'c:\\Users\\39340\\Documents\\GitHub\\in-context-bldc\\speed_controller\\train_zerostep.py'}
2025-05-14 09:06:33,949 INFO    MainThread:28024 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-05-14 09:06:33,949 INFO    MainThread:28024 [wandb_init.py:_log_setup():534] Logging user logs to C:\Users\39340\Documents\GitHub\in-context-bldc\speed_controller\wandb\run-20250514_090633-t8n1wso6\logs\debug.log
2025-05-14 09:06:33,949 INFO    MainThread:28024 [wandb_init.py:_log_setup():535] Logging internal logs to C:\Users\39340\Documents\GitHub\in-context-bldc\speed_controller\wandb\run-20250514_090633-t8n1wso6\logs\debug-internal.log
2025-05-14 09:06:33,949 INFO    MainThread:28024 [wandb_init.py:init():621] calling init triggers
2025-05-14 09:06:33,949 INFO    MainThread:28024 [wandb_init.py:init():628] wandb.init called with sweep_config: {}
config: {}
2025-05-14 09:06:33,949 INFO    MainThread:28024 [wandb_init.py:init():671] starting backend
2025-05-14 09:06:33,949 INFO    MainThread:28024 [wandb_init.py:init():675] sending inform_init request
2025-05-14 09:06:33,949 INFO    MainThread:28024 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2025-05-14 09:06:33,951 INFO    MainThread:28024 [wandb_init.py:init():688] backend started and connected
2025-05-14 09:06:33,952 INFO    MainThread:28024 [wandb_init.py:init():783] updated telemetry
2025-05-14 09:06:33,988 INFO    MainThread:28024 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2025-05-14 09:06:34,388 INFO    MainThread:28024 [wandb_init.py:init():867] starting run threads in backend
2025-05-14 09:06:34,552 INFO    MainThread:28024 [wandb_run.py:_console_start():2463] atexit reg
2025-05-14 09:06:34,552 INFO    MainThread:28024 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2025-05-14 09:06:34,552 INFO    MainThread:28024 [wandb_run.py:_redirect():2376] Wrapping output streams.
2025-05-14 09:06:34,552 INFO    MainThread:28024 [wandb_run.py:_redirect():2401] Redirects installed.
2025-05-14 09:06:34,554 INFO    MainThread:28024 [wandb_init.py:init():911] run started, returning control to user process
2025-05-15 03:03:38,942 WARNING MsgRouterThr:28024 [router.py:message_loop():77] message_loop has been closed
