2024-11-11 14:52:08,365 INFO    MainThread:18972 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
2024-11-11 14:52:08,366 INFO    MainThread:18972 [wandb_setup.py:_flush():79] Configure stats pid to 18972
2024-11-11 14:52:08,366 INFO    MainThread:18972 [wandb_setup.py:_flush():79] Loading settings from C:\Users\39340\.config\wandb\settings
2024-11-11 14:52:08,366 INFO    MainThread:18972 [wandb_setup.py:_flush():79] Loading settings from C:\Users\39340\Documents\GitHub\in-context-bldc\wandb\settings
2024-11-11 14:52:08,366 INFO    MainThread:18972 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-11 14:52:08,366 INFO    MainThread:18972 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-11 14:52:08,368 INFO    MainThread:18972 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'speed_estimator\\bldc_simulator_CL_Ome.py', 'program_abspath': 'c:\\Users\\39340\\Documents\\GitHub\\in-context-bldc\\speed_estimator\\bldc_simulator_CL_Ome.py', 'program': 'c:\\Users\\39340\\Documents\\GitHub\\in-context-bldc\\speed_estimator\\bldc_simulator_CL_Ome.py'}
2024-11-11 14:52:08,368 INFO    MainThread:18972 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-11 14:52:08,368 INFO    MainThread:18972 [wandb_init.py:_log_setup():534] Logging user logs to C:\Users\39340\Documents\GitHub\in-context-bldc\wandb\run-20241111_145208-5byekgrh\logs\debug.log
2024-11-11 14:52:08,368 INFO    MainThread:18972 [wandb_init.py:_log_setup():535] Logging internal logs to C:\Users\39340\Documents\GitHub\in-context-bldc\wandb\run-20241111_145208-5byekgrh\logs\debug-internal.log
2024-11-11 14:52:08,368 INFO    MainThread:18972 [wandb_init.py:init():621] calling init triggers
2024-11-11 14:52:08,368 INFO    MainThread:18972 [wandb_init.py:init():628] wandb.init called with sweep_config: {}
config: {}
2024-11-11 14:52:08,368 INFO    MainThread:18972 [wandb_init.py:init():671] starting backend
2024-11-11 14:52:08,368 INFO    MainThread:18972 [wandb_init.py:init():675] sending inform_init request
2024-11-11 14:52:08,369 INFO    MainThread:18972 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-11-11 14:52:08,370 INFO    MainThread:18972 [wandb_init.py:init():688] backend started and connected
2024-11-11 14:52:08,371 INFO    MainThread:18972 [wandb_init.py:init():783] updated telemetry
2024-11-11 14:52:08,406 INFO    MainThread:18972 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2024-11-11 14:52:08,763 INFO    MainThread:18972 [wandb_init.py:init():867] starting run threads in backend
2024-11-11 14:52:08,866 INFO    MainThread:18972 [wandb_run.py:_console_start():2463] atexit reg
2024-11-11 14:52:08,866 INFO    MainThread:18972 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2024-11-11 14:52:08,866 INFO    MainThread:18972 [wandb_run.py:_redirect():2376] Wrapping output streams.
2024-11-11 14:52:08,866 INFO    MainThread:18972 [wandb_run.py:_redirect():2401] Redirects installed.
2024-11-11 14:52:08,869 INFO    MainThread:18972 [wandb_init.py:init():911] run started, returning control to user process
2024-11-11 14:54:20,769 WARNING MsgRouterThr:18972 [router.py:message_loop():77] message_loop has been closed
